data_collection_reference_id,specimen_type_name
ABCA_10x,whole cell
ABCA_merscope,brain section set
adey_sciMETv2_human_cortex,brain region
bican_mouse_dev_p20_merscope_m,whole brain
bican_mouse_dev_p28_merscope_m,whole brain
chung_ihc,brain slice
chung_lsfm,brain section set
dev_mouse_brain_ccf,whole brain
dev_mouse_brain_lsfm,whole brain
dev_mouse_brain_mri,whole brain
dev_mouse_brain_stpt,whole brain
dong_antero,whole brain
dong_confocal,brain slice
dong_lightsheet,whole brain
dong_retro,whole brain
dong_trio,whole brain
dulac_hyp_sn_10xv2,cell nucleus
dulac_pag_sn_10xv2,cell nucleus
dulac_poa_dev_sn_10x_RNAseq,cell nucleus
ecker_hu_DNAseq,tissue sample
ecker_hu_sn_ATACseq,cell nucleus
ecker_hu_sn_m3Cseq,library
ecker_hu_sn_mCseq,cell nucleus
ecker_sn_ATACseq,cell nucleus
ecker_sn_mCseq,cell nucleus
ecker_sn_mCseq_retro,cell nucleus
ecker_trio,whole brain
feng_fish,cell in slice
feng_morph,reconstruction
feng_multiome_ATACseq,cell nucleus
feng_multiome_RNAseq,cell nucleus
feng_sn_10xv3,cell nucleus
feng_sn_dropseq,cell nucleus
fischl_lsfm,brain slice
fischl_mri,brain hemisphere
fischl_oct,brain slice
fischl_stereology,brain slice
huang_antero,brain section set
huang_ccf4_hist,whole brain
huang_ccf4_mri,whole brain
huang_dev_cx_scATAC,cell nucleus
huang_dev_cx_scRNA,cell nucleus
huang_dev_cx_scRNA_v3,brain region
huang_fmost,whole brain
huang_fmost_cells,whole cell
huang_input_conn,whole brain
huang_pn_bulk_SSv4,bulk nucleus
huang_pn_sn_10xv2,cell nucleus
huang_pn_sn_10xv3,cell nucleus
huang_retro,brain section set
huang_sn_10xv2,cell nucleus
huang_sn_10xv3,cell nucleus
huang_stpt_conn,whole brain
huang_stpt_count,whole brain
human_cortex_SS4_counts,cell nucleus
human_cortex_SS4_Open_GRU,cell nucleus
human_cortex_SS4_restricted_GRU,cell nucleus
human_cortex_SS4_restricted_limited,cell nucleus
HumanM110x,cell nucleus
HumanPSeqL23_E,cell in slice
HumanPSeqL23_M,cell in slice
HumanPSeqL23_T,cell nucleus
kriegstein_sc_10xv2,whole cell
kriegstein_sc_10xv3,whole cell
kriegstein_sc_ATACseq,whole cell
kriegstein_sc_multiome,whole cell
kriegstein_sn_10xv2,cell nucleus
kriegstein_spatial,brain section set
lein_evo_10x_arcticgroundsquirrel,library
lein_evo_10x_armadillo,library
lein_evo_10x_baboon,library
lein_evo_10x_cat,cell nucleus
lein_evo_10x_chimp,library
lein_evo_10x_coyote,library
lein_evo_10x_ferret,library
lein_evo_10x_galago,cell nucleus
lein_evo_10x_gorilla,library
lein_evo_10x_greenmonkey,library
lein_evo_10x_nemestrina,library
lein_evo_10x_opposum,library
lein_evo_10x_owlmonkey,library
lein_evo_10x_pig,cell nucleus
lein_evo_10x_rabbit,library
lein_evo_10x_rat,library
lein_evo_10x_rhesus,library
lein_evo_10x_squirrel_monkey,library
lein_evo_10x_treeshrew,cell nucleus
lein_evo_Iso_Seq_arctic_ground_squirrel,library
lein_evo_Iso_Seq_armadillo,library
lein_evo_Iso_Seq_greenmonkey,library
lein_evo_Iso_Seq_nemestrina,library
lein_evo_Iso_Seq_opossum,library
lein_evo_Iso_Seq_squirrel_monkey,library
lein_great_ape_MTG_10x_chimpanzee,cell nucleus
lein_great_ape_MTG_10x_gorilla,cell nucleus
lein_great_ape_MTG_10x_human,cell nucleus
lein_great_ape_MTG_10x_marmoset,cell nucleus
lein_great_ape_MTG_10x_rhesus,cell nucleus
lein_great_ape_MTG_SSv4_chimpanzee,cell nucleus
lein_great_ape_MTG_SSv4_gorilla,cell nucleus
lein_great_ape_MTG_SSv4_human,cell nucleus
lein_hmba_nhp_pseq_e,cell in slice
lein_hmba_nhp_pseq_m,cell in slice
lein_hmba_nhp_pseq_t,cell nucleus
lein_human_cross-areal_10x_A1,cell nucleus
lein_human_cross-areal_10x_ACC,cell nucleus
lein_human_cross-areal_10x_ANG,cell nucleus
lein_human_cross-areal_10x_DLPFC,cell nucleus
lein_human_cross-areal_10x_L5_controlled,cell nucleus
lein_human_cross-areal_10x_M1,cell nucleus
lein_human_cross-areal_10x_MTG,cell nucleus
lein_human_cross-areal_10x_S1,cell nucleus
lein_human_cross-areal_10x_V1,cell nucleus
lein_human_cross-areal_SSv4_A1,cell nucleus
lein_human_cross-areal_SSv4_ACC,cell nucleus
lein_human_cross-areal_SSv4_ANG,cell nucleus
lein_human_cross-areal_SSv4_DLPFC,cell nucleus
lein_human_cross-areal_SSv4_M1,cell nucleus
lein_human_cross-areal_SSv4_MTG,cell nucleus
lein_human_cross-areal_SSv4_S1,cell nucleus
lein_human_cross-areal_SSv4_V1,cell nucleus
lein_human_pseq_e,cell in slice
lein_human_pseq_m,cell in slice
lein_human_pseq_t,cell nucleus
lein_L5_pseq_e,cell in slice
lein_L5_pseq_m,cell in slice
lein_L5_pseq_t,cell nucleus
lein_sn_10xv2,cell nucleus
lein_sn_10xv3,cell nucleus
lein_sn_hippocampus,cell nucleus
lein_sn_SSv4,cell nucleus
macosko_bg_multiome_atac_human,cell nucleus
