project_reference_id,protocol_reference_id,priority_order
dong_antero_proj,protocol http://doi.org/10.17504/protocols.io.4xjgxkn,0
dong_retro_proj,protocol http://doi.org/10.17504/protocols.io.4xpgxmn,0
dong_trio_proj,protocol http://doi.org/10.17504/protocols.io.4xsgxne,0
ecker_hu_sn_ATACseq_proj,protocol http://doi.org/10.17504/protocols.io.4zzgx76,0
ecker_hu_sn_m3Cseq_proj,protocol https://doi.org/10.1038/s41592-019-0547-z,0
ecker_hu_sn_mCseq_proj,protocol http://doi.org/10.17504/protocols.io.pjvdkn6,0
ecker_sn_ATACseq_proj,protocol http://doi.org/10.17504/protocols.io.pjudknw,0
ecker_sn_mCseq_proj,protocol http://doi.org/10.17504/protocols.io.pjvdkn6,0
ecker_sn_mCseq_retro_proj,protocol http://doi.org/10.17504/protocols.io.pjvdkn6,0
ecker_trio_proj,protocol http://doi.org/10.17504/protocols.io.4xsgxne,0
feng_multiome_proj,protocol https://support.10xgenomics.com/single-cell-multiome-atac-gex/index/doc/demonstrated-protocol-nuclei-isolation-from-complex-tissues-for-single-cell-multiome-atac-gene-expression-sequencing,0
feng_multiome_proj,protocol https://support.10xgenomics.com/single-cell-multiome-atac-gex/index/doc/user-guide-chromium-next-gem-single-cell-multiome-atac-gene-expression-reagent-kits-user-guide,1
feng_sn_dropseq_proj,protocol http://doi.org/10.17504/protocols.io.2srged6,0
fischl_mri_proj,protocol https://doi.org/10.1101/2021.07.18.452829,0
huang_antero_proj,protocol http://doi.org/10.17504/protocols.io.4xjgxkn,0
huang_macosko_sn_10xv3_proj,protocol http://doi.org/10.17504/protocols.io.md2c28e,0
huang_retro_proj,protocol http://doi.org/10.17504/protocols.io.4xpgxmn,0
huang_sn_10xv2_proj,protocol http://doi.org/10.17504/protocols.io.md2c28e,0
huang_sn_10xv2_proj,protocol https://doi.org/10.17504/protocols.io.bbseinbe,1
huang_stpt_conn_proj,protocol http://doi.org/10.17504/protocols.io.sqcedsw,0
