data_collection_reference_id,specimen_type_name,reported_count
chung_ihc,brain slice,2
chung_lsfm,brain section set,152
dev_mouse_brain_lsfm,whole brain,599
dev_mouse_brain_mri,whole brain,189
dev_mouse_brain_stpt,whole brain,388
dong_antero,whole brain,60
dong_confocal,brain slice,30
dong_lightsheet,whole brain,9
dong_retro,whole brain,142
dong_trio,whole brain,67
dulac_hyp_sn_10xv2,cell nucleus,148163
dulac_pag_sn_10xv2,cell nucleus,116659
dulac_poa_dev_sn_10x_RNAseq,cell nucleus,226132
ecker_hu_DNAseq,tissue sample,3
ecker_hu_sn_ATACseq,cell nucleus,1855241
ecker_hu_sn_mCseq,cell nucleus,322232
ecker_sn_ATACseq,cell nucleus,2945317
ecker_sn_mCseq,cell nucleus,340254
ecker_sn_mCseq_retro,cell nucleus,72287
ecker_trio,whole brain,68
feng_fish,cell in slice,271
feng_morph,reconstruction,45
feng_sn_10xv3,cell nucleus,2129935
feng_sn_dropseq,cell nucleus,834367
fischl_lsfm,brain slice,161
fischl_mri,brain hemisphere,16
fischl_oct,brain slice,314
fischl_stereology,brain slice,28
huang_antero,brain section set,53
huang_ccf4_hist,whole brain,1
huang_ccf4_mri,whole brain,1
huang_dev_cx_scATAC,cell nucleus,17557
huang_dev_cx_scRNA,cell nucleus,64600
huang_fmost,whole brain,192
huang_fmost_cells,whole cell,566
huang_input_conn,whole brain,5
huang_pn_bulk_SSv4,bulk nucleus,19
huang_pn_sn_10xv2,cell nucleus,106093
huang_pn_sn_10xv3,cell nucleus,157696
huang_retro,brain section set,54
huang_sn_10xv2,cell nucleus,469176
huang_sn_10xv3,cell nucleus,6564530
huang_stpt_conn,whole brain,232
huang_stpt_count,whole brain,58
human_cortex_SS4_Open_GRU,cell nucleus,4911
human_cortex_SS4_restricted_GRU,cell nucleus,50688
human_cortex_SS4_restricted_limited,cell nucleus,208
kriegstein_sc_10xv2,whole cell,736509
kriegstein_sc_10xv3,whole cell,259015
kriegstein_sc_ATACseq,whole cell,215739
kriegstein_sc_multiome,whole cell,190082
kriegstein_sn_10xv2,cell nucleus,1823807
kriegstein_spatial,brain section set,3
lein_evo_10x_arcticgroundsquirrel,library,11
lein_evo_10x_armadillo,library,12
lein_evo_10x_cat,cell nucleus,135228
lein_evo_10x_chimp,library,12
lein_evo_10x_ferret,library,12
lein_evo_10x_galago,cell nucleus,132956
lein_evo_10x_gorilla,library,14
lein_evo_10x_greenmonkey,library,12
lein_evo_10x_nemestrina,library,12
lein_evo_10x_opposum,library,12
lein_evo_10x_owlmonkey,library,12
lein_evo_10x_pig,cell nucleus,114075
lein_evo_10x_rabbit,library,13
lein_evo_10x_rat,library,12
lein_evo_10x_rhesus,library,13
lein_evo_10x_treeshrew,cell nucleus,139650
lein_evo_Iso_Seq_arctic_ground_squirrel,library,1
lein_evo_Iso_Seq_armadillo,library,1
lein_evo_Iso_Seq_greenmonkey,library,1
lein_evo_Iso_Seq_nemestrina,library,1
lein_evo_Iso_Seq_opossum,library,1
lein_evo_Iso_Seq_squirrel_monkey,library,1
lein_human_pseq_e,cell in slice,1135
lein_human_pseq_m,cell in slice,745
lein_human_pseq_t,cell nucleus,1135
lein_L5_pseq_t,cell nucleus,25
lein_sn_10xv2,cell nucleus,180766
lein_sn_10xv3,cell nucleus,3105039
lein_sn_hippocampus,cell nucleus,10708
lein_sn_SSv4,cell nucleus,244983
macosko_bg_multiome_atac_human,cell nucleus,579740
macosko_bg_multiome_atac_macaque,cell nucleus,150489
macosko_bg_multiome_gex_human,cell nucleus,507643
macosko_bg_multiome_gex_macaque,cell nucleus,108450
macosko_bg_shareseq_macaque,cell nucleus,14000
macosko_bg_slideseq_histologydataset_human,brain slice,17
macosko_bg_slideseq_histologydataset_macaque,brain slice,12
macosko_bg_slideseq_human,library,821968
macosko_bg_slideseq_macaque,library,2209973
macosko_mouse_slideseq_histologydataset,brain slice,136
macosko_mouse_slideseq_slideseqdataset,library,18770373
mop_evo_pseq_hu_t,cell nucleus,12
mueller_mouselight,whole brain,3
nowakowski_evobc,cell nucleus,90119
nowakowski_pndev_10xv3,cell nucleus,124580
osten_ls,whole brain,12
osten_stpt,whole brain,393
regev_cisi,brain slice,1
sestan_multiome_10x_human,library,131531
sestan_multiome_10x_nhp,library,93131
sestan_sc_10xv2_nhp_dev,whole cell,430728
sestan_sc_10xv3_nhp_dev,whole cell,335292
sestan_sn_10xv3_human,cell nucleus,219058
sestan_sn_10xv3_human_pfc,cell nucleus,171997
sestan_sn_10xv3_nhp_adult,cell nucleus,84841
sestan_sn_10xv3_nhp_adult_pfc,cell nucleus,438599
sestan_sn_10xv3_pig,cell nucleus,97436
snyder-mackler_macaque_scATAC,brain region,110
snyder-mackler_macaque_scRNA,brain region,70
tasic_ATACseq,whole cell,221
tasic_sc_SSv4,whole cell,6714
tasic_stpt,whole brain,223
tilgner_10x_scRNA,library,252301
tilgner_human_10x_snRNA,library,54779
tilgner_human_sn_ont,library,54779
tilgner_sc_ONT,whole cell,252301
tilgner_sc_pb,whole cell,189503
yang_morf_cells,reconstruction,3931
yang_MORF_confocal,brain section set,751
zeng_anderson_sc_10xv2,whole cell,168877
zeng_anderson_sc_10xv3,whole cell,226798
zeng_expr_char,whole brain,53
zeng_fmost,whole brain,147
zeng_fmost_cells,whole cell,1741
