project_reference_id,data_collection_reference_id,priority_order
ABCA_proj,ABCA_merscope,0
ABCA_proj,ABCA_10x,1
ABCA_proj,ABCA_10x_HY_EA_Glut_GABA,2
ABCA_proj,ABCA_10x_MB_HB_CB_GABA,3
ABCA_proj,ABCA_10x_Subpallium_GABA,4
ABCA_proj,ABCA_10x_MB_HB_Glut_Sero_Dopa,5
ABCA_proj,ABCA_10x_Pallium_Glut,6
ABCA_proj,ABCA_10x_NN_IMN_GC,7
ABCA_proj,ABCA_10x_TH_EPI_Glut,8
adey_sciMETv2,adey_sciMETv2_human_cortex,0
bican_mouse_dev_p20_proj,bican_mouse_dev_p20_merscope_m,0
bican_mouse_dev_p28_proj,bican_mouse_dev_p28_merscope_m,0
chung_antibody_proj,chung_ihc,0
chung_lsfm_proj,chung_lsfm,0
dev_mouse_brain_ccf_proj,dev_mouse_brain_ccf,0
dev_mouse_brain_ccf_proj,dev_mouse_brain_lsfm,1
dev_mouse_brain_ccf_proj,dev_mouse_brain_mri,2
dev_mouse_brain_ccf_proj,dev_mouse_brain_stpt,3
dong_antero_proj,dong_antero,0
dong_retro_proj,dong_retro,0
dong_trio_proj,dong_trio,0
dong_viral_neuron_proj,dong_confocal,0
dong_viral_neuron_proj,dong_lightsheet,1
dulac_hyp_sn_10x_proj,dulac_hyp_sn_10xv2,0
dulac_pag_sn_10x_proj,dulac_pag_sn_10xv2,0
dulac_poa_dev_sn_10x_proj,dulac_poa_dev_sn_10x_RNAseq,0
ecker_hu_DNAseq_proj,ecker_hu_DNAseq,0
ecker_hu_sn_ATACseq_proj,ecker_hu_sn_ATACseq,0
ecker_hu_sn_m3Cseq_proj,ecker_hu_sn_m3Cseq,0
ecker_hu_sn_mCseq_proj,ecker_hu_sn_mCseq,0
ecker_sn_ATACseq_proj,ecker_sn_ATACseq,0
ecker_sn_mCseq_proj,ecker_sn_mCseq,0
ecker_sn_mCseq_retro_proj,ecker_sn_mCseq_retro,0
ecker_trio_proj,ecker_trio,0
feng_fish_proj,feng_fish,0
feng_fish_proj,feng_morph,1
feng_multiome_proj,feng_multiome_ATACseq,0
feng_multiome_proj,feng_multiome_RNAseq,1
feng_sn_dropseq_proj,feng_sn_10xv3,0
feng_sn_dropseq_proj,feng_sn_dropseq,1
fischl_mri_proj,fischl_lsfm,0
fischl_mri_proj,fischl_mri,1
fischl_mri_proj,fischl_oct,2
fischl_mri_proj,fischl_stereology,3
huang_antero_proj,huang_antero,0
huang_ccf4_proj,huang_ccf4_mri,0
huang_ccf4_proj,huang_ccf4_hist,1
huang_dev_cx_proj,huang_dev_cx_scATAC,0
huang_dev_cx_proj,huang_dev_cx_scRNA,1
huang_dev_cx_proj,huang_dev_cx_scRNA_v3,2
huang_fmost_proj,huang_fmost,0
huang_fmost_proj,huang_fmost_cells,1
huang_input_conn_proj,huang_input_conn,0
huang_macosko_sn_10xv3_proj,huang_sn_10xv3,0
