person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Adrian V. Dalca,Adrian V. Dalca,Adrian V.,Dalca,
Alessia Atzeni,Alessia Atzeni,Alessia,Atzeni,
Allison Stevens,Allison Stevens,Allison,Stevens,
Andre van der Kouwe,Andre van der Kouwe,Andre,van der Kouwe,
Andreas Tolias,Andreas Tolias,Andreas,Tolias,
Andrew Aldridge,Andrew Aldridge,Andrew,Aldridge,
Angeline Rivkin,Angeline Rivkin,Angeline,Rivkin,
Anna Bartlett,Anna Bartlett,Anna,Bartlett,
Anna Marie Yanny,Anna Marie Yanny,Anna Marie,Yanny,
Anoushka Joglekar,Anoushka Joglekar,Anoushka,Joglekar,
Anthony Kolasny,Anthony Kolasny,Anthony,Kolasny,
Anubhav Sinha,Anubhav Sinha,Anubhav,Sinha,
Anup Mahurkar,Anup Mahurkar,Anup,Mahurkar,
Aparna Bhaduri,Aparna Bhaduri,Aparna,Bhaduri,0000-0003-4625-6899
Arnold Kriegstein,Arnold Kriegstein,Arnold,Kriegstein,
Aviv Regev,Aviv Regev,Aviv,Regev,
Bing Ren,Bing Ren,Bing,Ren,0000-0002-5435-1127
Blue Lake,Blue Lake,Blue,Lake,0000-0002-8637-9044
Bosiljka Tasic,Bosiljka Tasic,Bosiljka,Tasic,
Bram Diamond,Bram Diamond,Bram,Diamond,
Brian Cleary,Brian Cleary,Brian,Cleary,
Brian Edlow,Brian Edlow,Brian,Edlow,
Brian Herb,Brian Herb,Brian,Herb,
Bridget Wicinski,Bridget Wicinski,Bridget,Wicinski,
Brooke Simonton,Brooke Simonton,Brooke,Simonton,
Bruce Fischl,Bruce Fischl,Bruce,Fischl,
C. Dirk Keene,C. Dirk Keene,C. Dirk,Keene,
Caroline Magnain,Caroline Magnain,Caroline,Magnain,
Carter Palmer,Carter Palmer,Carter,Palmer,0000-0002-2385-2068
Catherine Dulac,Catherine Dulac,Catherine,Dulac,
Chang Sin Park,Chang Sin Park,Chang Sin,Park,
Chiara Gerhardinger,Chiara Gerhardinger,Chiara,Gerhardinger,
Chongyuan Luo,Chongyuan Luo,Chongyuan,Luo,
Christine Liu,Christine Liu,Christine,Liu,0000-0002-1239-4612
Christine Rimorin,Christine Rimorin,Christine,Rimorin,
Chuck Vanderburg,Chuck Vanderburg,Chuck,Vanderburg,
Cindy van Velthoven,Cindy van Velthoven,Cindy,van Velthoven,
Darren Bertagnolli,Darren Bertagnolli,Darren,Bertagnolli,
Darrick Lo,Darrick Lo,Darrick,Lo,
David Anderson,David Anderson,David,Anderson,
David Boas,David Boas,David,Boas,
David J Anderson,David J Anderson,David,Anderson,0000-0001-6175-3872
Delissa McMillen,Delissa McMillen,Delissa,McMillen,
Devani Cordero,Devani Cordero,Devani,Cordero,
Dinh Diep,Dinh Diep,Dinh,Diep,
Divya Varadarajan,Divya Varadarajan,Divya,Varadarajan,
Dmitry Kobak,Dmitry Kobak,Dmitry,Kobak,
Dmitry Velmeshev,Dmitry Velmeshev,Dmitry,Velmeshev,
Dong-Wook Kim,Dong-Wook Kim,Dong-Wook,Kim,0000-0002-5497-5853
Ed Callaway,Ed Callaway,Ed,Callaway,
Ed Lein,Ed Lein,Ed,Lein,
Edward Boyden,Edward Boyden,Edward,Boyden,
Edward Callaway,Edward Callaway,Edward,Callaway,0000-0002-6366-5267
Ehsan Habibi,Ehsan Habibi,Ehsan,Habibi,
Elise Shen,Elise Shen,Elise,Shen,
Emma Boyd,Emma Boyd,Emma,Boyd,
Eran A. Mukamel,Eran A. Mukamel,Eran,Mukamel,
Erendira Garcia Pallares,Erendira Garcia Pallares,Erendira Garcia,Pallares,
Eric Lander,Eric Lander,Eric,Lander,
Eric Vaughn,Eric Vaughn,Eric,Vaughn,
Evan Macosko,Evan Macosko,Evan,Macosko,
Evan Murray,Evan Murray,Evan,Murray,
Fangming Xie,Fangming Xie,Fangming,Xie,
Federico Scala,Federico Scala,Federico,Scala,
Fei Chen,Fei Chen,Fei,Chen,
Fenna Krienen,Fenna Krienen,Fenna,Krienen,
Filippo Maria Castelli,Filippo Maria Castelli,Filippo Maria,Castelli,
Florence D'Orazi,Florence D'Orazi,Florence,D'Orazi,
Francesco Pavone,Francesco Pavone,Francesco,Pavone,
Giacomo Mazzamuto,Giacomo Mazzamuto,Giacomo,Mazzamuto,
