web_resource_reference_id,web_resource_type,web_resource_title,web_resource_short_title,universal_resource_locator
 https://download.brainimagelibrary.org/biccn/mueller/mouselight/,download,Brain Image Library,BIL, https://download.brainimagelibrary.org/biccn/mueller/mouselight/
http://doi.org/10.17504/protocols.io.2srged6,view,Extraction of Nuclei from Brain Tissue,Extraction of Nuclei from Brain Tissue,https://doi.org/10.17504/protocols.io.2srged6
http://doi.org/10.17504/protocols.io.4xjgxkn,view,Triple Anterograde Tracing,Triple Anterograde Tracing,https://doi.org/10.17504/protocols.io.4xjgxkn
http://doi.org/10.17504/protocols.io.4xpgxmn,view,Quadruple Retrograde Tracing,Quadruple Retrograde Tracing,https://doi.org/10.17504/protocols.io.4xpgxmn
http://doi.org/10.17504/protocols.io.4xsgxne,view,TRIO tracing,TRIO tracing,https://doi.org/10.17504/protocols.io.4xsgxne
http://doi.org/10.17504/protocols.io.4zzgx76,view,Sequencing open chromatin of single cell nuclei: snATAC-seq V.2 ,snATAC-seq V.2 ,https://doi.org/10.17504/protocols.io.4zzgx76
http://doi.org/10.17504/protocols.io.63rhgm6,view,Nextera XT at 0.2X On the Mantis,Nextera XT at 0.2X On the Mantis,https://doi.org/10.17504/protocols.io.63rhgm6
http://doi.org/10.17504/protocols.io.7aehibe,view,Human Tissue Slicing and Dissections for Nuclear Isolations,Human Tissue Slicing and Dissections for Nuclear Isolations,https://doi.org/10.17504/protocols.io.7aehibe
http://doi.org/10.17504/protocols.io.7d5hi86,view,SMARTerV4 (0.5x) Amplification for single-cell or single-nuclei RNASeq Protocol,SMARTerV4 (0.5x) Amplification for single-cell or single-nuclei RNASeq Protocol,https://doi.org/10.17504/protocols.io.7d5hi86
http://doi.org/10.17504/protocols.io.7d6hi9e,view,SMARTerV4 (1x) Amplification for single-cell or  single-nuclei RNASeq Protocol,SMARTerV4 (1x) Amplification for single-cell or  single-nuclei RNASeq Protocol,https://doi.org/10.17504/protocols.io.7d6hi9e
http://doi.org/10.17504/protocols.io.7dwhi7e,view,Slice Preparation with Tissue Dissociation - Mouse Protocol,Slice Preparation with Tissue Dissociation - Mouse Protocol,https://doi.org/10.17504/protocols.io.7dwhi7e
http://doi.org/10.17504/protocols.io.8tvhwn6,view,Nuclei Isolation for SNARE-seq2 ,Nuclei Isolation for SNARE-seq2 ,https://doi.org/10.17504/protocols.io.8tvhwn6
http://doi.org/10.17504/protocols.io.md2c28e,view,DroNc-seq step-by-step,DroNc-seq step-by-step,https://doi.org/10.17504/protocols.io.md2c28e
http://doi.org/10.17504/protocols.io.nx3dfqn,view,Preparation of frozen nuclei for single-nucleus RNA seq,Preparation of frozen nuclei for single-nucleus RNA seq,https://doi.org/10.17504/protocols.io.nx3dfqn
http://doi.org/10.17504/protocols.io.pjudknw,view,Sequencing open chromatin of single cell nuclei: snATAC-seq,Sequencing open chromatin of single cell nuclei: snATAC-seq,https://doi.org/10.17504/protocols.io.pjudknw
http://doi.org/10.17504/protocols.io.pjvdkn6,view,Methyl-C sequencing of single cell nuclei: snmC-seq2,Methyl-C sequencing of single cell nuclei: snmC-seq2,https://doi.org/10.17504/protocols.io.pjvdkn6
http://doi.org/10.17504/protocols.io.smvec66,view,STPT protocol,STPT protocol,https://doi.org/10.17504/protocols.io.smvec66
http://doi.org/10.17504/protocols.io.sqcedsw,view,STP Imaging Protocol,STP Imaging Protocol,https://doi.org/10.17504/protocols.io.sqcedsw
http://doi.org/10.17504/protocols.io.ssgeebw,view,Resin/HM20 Embedding and fMOST Imaging Protocol,Resin/HM20 Embedding and fMOST Imaging Protocol,https://doi.org/10.17504/protocols.io.ssgeebw
http://doi.org/10.17504/protocols.io.y6rfzd6,view,Isolation of Nuclei from Adult Human Brain Tissue for 10x Genomics Platform,Isolation of Nuclei from Adult Human Brain Tissue for 10x Genomics Platform,https://doi.org/10.17504/protocols.io.y6rfzd6
http://doi.org/10.17504/protocols.io.ynxfvfn,view,10Xv2 RNASeq Sample Processing,10Xv2 RNASeq Sample Processing,https://doi.org/10.17504/protocols.io.ynxfvfn
http://doi.org/10.17504/protocols.io.ztqf6mw,view,Isolation of Nuclei from Adult_Human_Brain_Tissue,Isolation of Nuclei from Adult_Human_Brain_Tissue,https://doi.org/10.17504/protocols.io.ztqf6mw
http://help.brain-map.org/display/celltypes/Documentation,view,Allen Cell Types Database Documentation,Allen Cell Types Database Documentation,http://help.brain-map.org/display/celltypes/Documentation
http://help.brain-map.org/display/mouseconnectivity/Documentation,view,Allen Mouse Brain Connectivity Atlas Documentation,Allen Mouse Brain Connectivity Atlas Documentation,http://help.brain-map.org/display/mouseconnectivity/Documentation
http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf,view,Mouse Common Coordinate Framework ,CCF,http://help.brain-map.org/download/attachments/8323525/Mouse_Common_Coordinate_Framework.pdf
https://alleninstitute.org/legal/terms-use/,information,Allen Institute Terms of Use,Allen Terms of Use,https://alleninstitute.org/legal/terms-use/
https://assets.ctfassets.net/an68im79xiti/615GcV6E7TzuqXKqMjPBtP/9badb815aacebe97a6ac5ecf9d86154b/CG000168_ChromiumSingleCellATAC_ReagentKits_UserGuide_RevB.pdf,view,Chromium Single Cell ATAC,Chromium Single Cell ATAC,https://assets.ctfassets.net/an68im79xiti/615GcV6E7TzuqXKqMjPBtP/9badb815aacebe97a6ac5ecf9d86154b/CG000168_ChromiumSingleCellATAC_ReagentKits_UserGuide_RevB.pdf
https://assets.nemoarchive.org/dat-18e8800,download,NeMO Data Archive,NeMO,https://assets.nemoarchive.org/dat-18e8800
