data_collection_reference_id,specimen_type_name
dong_antero,brain section set
dong_retro,brain section set
dong_trio,brain section set
dulac_hyp_sn_10xv2,cell nucleus
ecker_hu_DNAseq,tissue sample
ecker_hu_sn_ATACseq,cell nucleus
ecker_hu_sn_mCseq,cell nucleus
ecker_sn_ATACseq,cell nucleus
ecker_sn_mCseq,cell nucleus
ecker_sn_mCseq_retro,cell nucleus
ecker_trio,brain section set
feng_fish,cell in slice
feng_fish,brain section set
feng_morph,whole cell
feng_sn_10xv3,cell nucleus
feng_sn_dropseq,cell nucleus
fischl_lsfm,tissue sample
fischl_mri,brain hemisphere
fischl_oct,brain slice
fischl_stereology,tissue sample
huang_antero,brain section set
huang_fmost,whole brain
huang_fmost_cells,whole cell
huang_input_conn,whole brain
huang_pn_bulk_SSv4,bulk nucleus
huang_pn_sn_10xv2,cell nucleus
huang_pn_sn_10xv3,cell nucleus
huang_retro,brain section set
huang_sn_10xv2,cell nucleus
huang_sn_10xv3,cell nucleus
huang_stpt_conn,whole brain
huang_stpt_count,whole brain
HumanM110x,cell nucleus
human_cortex_SS4_counts,cell nucleus
human_cortex_SS4_Open_GRU,cell nucleus
human_cortex_SS4_restricted_GRU,cell nucleus
human_cortex_SS4_restricted_limited,cell nucleus
kriegstein_sc_10xv2,whole cell
kriegstein_sc_10xv3,whole cell
kriegstein_sc_ATACseq,cell nucleus
kriegstein_sn_10xv2,cell nucleus
lein_sn_10xv2,cell nucleus
lein_sn_10xv3,cell nucleus
lein_sn_SSv4,cell nucleus
mueller_mouselight,whole brain
nowakowski_evobc,whole cell
nowakowski_pndev_10xv3,cell nucleus
osten_stpt,whole brain
regev_cisi,brain slice
tasic_ATACseq,whole cell
tasic_stpt,whole brain
tilgner_sc_p56,cell nucleus
yang_morf_cells,whole cell
yang_MORF_confocal,tissue sample
zeng_anderson_sc_10xv2,whole cell
zeng_expr_char,whole brain
zeng_fmost,whole brain
zeng_fmost_cells,whole cell
zeng_mouselight,whole brain
zeng_retro,whole brain
zeng_sc_10xv2,whole cell
zeng_sc_10xv3,whole cell
zeng_sc_SSv4,whole cell
zeng_sn_10xv2,cell nucleus
zeng_sn_10xv3,cell nucleus
zeng_sn_SSv4,cell nucleus
zeng_tolias_pseq_e,cell in slice
zeng_tolias_pseq_m,cell in slice
zeng_tolias_pseq_t,cell nucleus
zhangK_cj_snareseq_AC,cell nucleus
zhangK_cj_snareseq_R,cell nucleus
zhangK_hs_snareseq_AC,cell nucleus
zhangK_hs_snareseq_R,cell nucleus
zhangl_anatomy,spinal cord
zhangl_kz_omics,cell nucleus
zhangl_seqfish,spinal cord slice
zhuang_merfish,brain slice
dulac_pag_sn_10xv2,cell nucleus
