data_collection_reference_id,data_collection_title,data_collection_short_title,data_collection_description,categorical_access_control_state,categorical_completion_state,last_updated_at_date
ConnAntCreSypEGFP,Mouse Connectivity anterograde Cre-defined SypEGFP,Anterograde Cre defined,Image data of the mouse brain detailing pre-synaptic terminals labeled by viral tracers.,open,,
ConnAntTarget,Mouse connectivity target-defined anterograde projectome,Anterograde Target Defined,"Image data of mouse brain anterograde projections from visual areas and associational cortical areas, defined by projection targets.",open,,
ConnBdaAav,BDA/AAV tracer data,BDA AAV,"High-resolution histology data directly comparing viral rAAV and conventional BDA tracers, as well as SMI-32 staining in the mouse brain.",open,complete,
ConnEGFP,Mouse Connectivity anterograde EGFP,Anterograde EGFP,Image data of the mouse brain detailing axonal projections labeled by viral tracers.,open,,
ConnRef,Mouse Connectivity Reference Data,Conn Ref,Reference datasets created for the Allen Mouse Brain Connectivity Atlas.,open,complete,
ConnRetinaProjection,Mouse Connectivity Retina Projection,Conn Retina Projection,Image data of the mouse brain detailing axonal projections labeled by viral tracers originating in the retina.,open,complete,
ConnRetinaVertical,Mouse Connectivity Vertical Retina,Conn Retina Vertical,Fluorescent images of transgene expression characterized in adult mice by Cre-dependent viral labeling and immunohistochemistry.,open,complete,
ConnTG,Mouse Connectivity Transgenic Characterization,Conn Tg Char,"High-resolution ISH, double fluorescent ISH and other histological data detailing transgene expression in Cre or other mouse driver lines.",open,in progress,
DevHumanISH,Developing Human Brain ISH,Dev Human ISH,High-resolution ISH data detailing gene expression in developing and adult human brains.,open,complete,
DevHumanMA,Developing Human Prenatal LMD Microarray,Dev Human MA,Genome-wide microarray data profiling gene expression in finely dissected regions spanning the entire prenatal human brain and isolated using laser capture microdissection.,open,complete,
DevHumanRef,Developing Human Reference Data,Dev Human Ref,Reference datasets created for the BrainSpan Atlas of the Developing Human Brain.,open,complete,
DevHumanTrans,Developing Human Transcriptome,Dev Human Trans,Genome-wide survey of gene expression using RNA sequencing and exon microarray techniques in targeted cortical and subcortical structures across the full course of human brain development.,open,complete,
DevMouse,Developing Mouse Brain In Situ Hybridization,Dev Mouse ISH,"High-resolution ISH data detailing expression patterns of ~2,000 genes across mouse brain development.",open,complete,
DevMouseRef,Developing Mouse Brain Reference Data,Dev Mouse Ref,Reference data sets created for the Allen Developing Mouse Brain Atlas using Nissl and HP Yellow Stain.,open,complete,
DevMouseRefAtlas,Developing Mouse Brain Reference Atlas,Dev Mouse Ref Atlas,Allen Developing Mouse Brain Reference Atlases.,open,complete,
dong_antero,Cre-dependent anterograde pathway tracing,Anterograde tracing,Fluorescent imaging of brain tissue sections marked by Cre-dependent anterograde tracer injections with nissl counterstain.,open,in progress,2021/04/14
dong_retro,Retrograde pathway tracing,Retrograde tracing,Fluorescent imaging of brain tissue sections labeled by 3-5 retrograde tracers with nissl counterstain.,open,in progress,2021/04/14
