project_reference_id,data_collection_reference_id,priority_order
dong_antero_proj,dong_antero,0
dong_retro_proj,dong_retro,0
dong_trio_proj,dong_trio,0
dulac_pag_sn_10x_proj,dulac_pag_sn_10xv2,0
ecker_hu_DNAseq_proj,ecker_hu_DNAseq,0
ecker_hu_sn_ATACseq_proj,ecker_hu_sn_ATACseq,0
ecker_hu_sn_mCseq_proj,ecker_hu_sn_mCseq,0
ecker_sn_ATACseq_proj,ecker_sn_ATACseq,0
ecker_sn_mCseq_proj,ecker_sn_mCseq,0
ecker_sn_mCseq_retro_proj,ecker_sn_mCseq_retro,0
ecker_trio_proj,ecker_trio,0
feng_fish_proj,feng_fish,0
feng_fish_proj,feng_morph,1
feng_sn_dropseq_proj,feng_sn_10xv3,0
feng_sn_dropseq_proj,feng_sn_dropseq,1
fischl_mri_proj,fischl_lsfm,0
fischl_mri_proj,fischl_mri,1
fischl_mri_proj,fischl_oct,2
fischl_mri_proj,fischl_stereology,3
fischl_oct_proj,fischl_oct,0
huang_antero_proj,huang_antero,0
huang_fmost_proj,huang_fmost,0
huang_fmost_proj,huang_fmost_cells,1
huang_input_conn_proj,huang_input_conn,0
huang_pn_proj,huang_pn_bulk_SSv4,0
huang_pn_proj,huang_pn_sn_10xv2,1
huang_pn_proj,huang_pn_sn_10xv3,2
huang_retro_proj,huang_retro,0
huang_sn_10xv2_proj,huang_sn_10xv2,0
huang_sn_10xv2_proj,huang_sn_10xv3,1
huang_stpt_conn_proj,huang_stpt_conn,0
huang_stpt_count_proj,huang_stpt_count,0
HumanM110xProj,HumanM110x,0
human_cortex,human_cortex_SS4_counts,1
human_cortex,human_cortex_SS4_Open_GRU,0
human_cortex,human_cortex_SS4_restricted_GRU,2
human_cortex,human_cortex_SS4_restricted_limited,3
kriegstein_sc_10x_proj,kriegstein_sc_10xv2,0
kriegstein_sc_10x_proj,kriegstein_sc_10xv3,1
kriegstein_sc_ATACseq_proj,kriegstein_sc_ATACseq,0
kriegstein_sn_10x_proj,kriegstein_sn_10xv2,0
lein_sn_10x,lein_sn_10xv2,0
lein_sn_10x,lein_sn_10xv3,1
lein_sn_SSv4_proj,lein_sn_SSv4,0
mueller_mouselight_proj,mueller_mouselight,0
nowakowski_evobc_proj,nowakowski_evobc,0
nowakowski_pndev_10xv3_proj,nowakowski_pndev_10xv3,0
osten_stpt_proj,osten_stpt,0
regev_cisi_proj,regev_cisi,0
tasic_ATACseq_proj,tasic_ATACseq,0
tasic_stpt_proj,tasic_stpt,0
tilgner_sc_10x_PB,tilgner_sc_p56,0
TransgenicSTPT,zeng_expr_char,0
yang_MORF_confocal_proj,yang_morf_cells,1
yang_MORF_confocal_proj,yang_MORF_confocal,0
zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,0
zeng_fmost_proj,zeng_fmost,0
zeng_fmost_proj,zeng_fmost_cells,1
zeng_mouselight_proj,zeng_mouselight,0
zeng_retro_proj,zeng_retro,0
zeng_sc_10x_proj,zeng_sc_10xv2,0
zeng_sc_10x_proj,zeng_sc_10xv3,1
zeng_sc_SSv4_proj,zeng_sc_SSv4,0
zeng_sn_10x_proj,zeng_sn_10xv2,0
zeng_sn_10x_proj,zeng_sn_10xv3,1
zeng_sn_SSv4_proj,zeng_sn_SSv4,0
zeng_tolias_pseq_proj,zeng_tolias_pseq_e,0
zeng_tolias_pseq_proj,zeng_tolias_pseq_m,1
zeng_tolias_pseq_proj,zeng_tolias_pseq_t,2
zhangK_snareseq,zhangK_cj_snareseq_AC,0
zhangK_snareseq,zhangK_cj_snareseq_R,1
zhangK_snareseq,zhangK_hs_snareseq_AC,2
zhangK_snareseq,zhangK_hs_snareseq_R,3
zhangl_anatomy_proj,zhangl_anatomy,0
zhangl_kz_omics_proj,zhangl_kz_omics,0
zhangl_seqfish_proj,zhangl_seqfish,0
zhuang_merfish_proj,zhuang_merfish,0
dulac_hyp_sn_10x_proj,dulac_hyp_sn_10xv2,0
huang_macosko_sn_10xv3_proj,huang_sn_10xv3,0
