data_collection_reference_id,species_name
dong_antero,mouse
dong_retro,mouse
dong_trio,mouse
dulac_hyp_sn_10xv2,mouse
ecker_hu_DNAseq,human
ecker_hu_sn_ATACseq,human
ecker_hu_sn_mCseq,human
ecker_sn_ATACseq,mouse
ecker_sn_mCseq,mouse
ecker_sn_mCseq_retro,mouse
ecker_trio,mouse
feng_fish,marmoset
feng_morph,marmoset
feng_sn_10xv3,marmoset
feng_sn_dropseq,marmoset
fischl_lsfm,human
fischl_mri,human
fischl_oct,human
fischl_stereology,human
huang_antero,mouse
huang_fmost,mouse
huang_fmost_cells,mouse
huang_input_conn,mouse
huang_pn_bulk_SSv4,mouse
huang_pn_sn_10xv2,mouse
huang_pn_sn_10xv3,mouse
huang_retro,mouse
huang_sn_10xv2,mouse
huang_sn_10xv3,mouse
huang_stpt_conn,mouse
huang_stpt_count,mouse
HumanM110x,human
human_cortex_SS4_counts,human
human_cortex_SS4_Open_GRU,human
human_cortex_SS4_restricted_GRU,human
human_cortex_SS4_restricted_limited,human
kriegstein_sc_10xv2,human
kriegstein_sc_10xv3,human
kriegstein_sc_ATACseq,human
kriegstein_sn_10xv2,human
lein_sn_10xv2,human
lein_sn_10xv3,human
lein_sn_SSv4,human
mueller_mouselight,mouse
nowakowski_evobc,mouse
nowakowski_pndev_10xv3,mouse
osten_stpt,mouse
regev_cisi,mouse
tasic_ATACseq,mouse
tasic_stpt,mouse
tilgner_sc_p56,mouse
yang_morf_cells,mouse
yang_MORF_confocal,mouse
zeng_anderson_sc_10xv2,mouse
zeng_expr_char,mouse
zeng_fmost,mouse
zeng_fmost_cells,mouse
zeng_mouselight,mouse
zeng_retro,mouse
zeng_sc_10xv2,mouse
zeng_sc_10xv3,mouse
zeng_sc_SSv4,mouse
zeng_sn_10xv2,mouse
zeng_sn_10xv3,mouse
zeng_sn_SSv4,mouse
zeng_tolias_pseq_e,mouse
zeng_tolias_pseq_m,mouse
zeng_tolias_pseq_t,mouse
zhangK_cj_snareseq_AC,marmoset
zhangK_cj_snareseq_R,marmoset
zhangK_hs_snareseq_AC,human
zhangK_hs_snareseq_R,human
zhangl_anatomy,mouse
zhangl_kz_omics,mouse
zhangl_seqfish,mouse
zhuang_merfish,mouse
dulac_pag_sn_10xv2,mouse
