project_reference_id,license_reference_id,priority_order
dong_antero_proj,CCBY4,0
dong_retro_proj,CCBY4,0
dong_trio_proj,CCBY4,0
dulac_pag_sn_10x_proj,CCBY4,0
ecker_hu_DNAseq_proj,CCBY4,0
ecker_hu_sn_ATACseq_proj,CCBY4,0
ecker_hu_sn_mCseq_proj,CCBY4,0
ecker_sn_ATACseq_proj,CCBY4,0
ecker_sn_mCseq_proj,CCBY4,0
ecker_sn_mCseq_retro_proj,CCBY4,0
ecker_trio_proj,CCBY4,0
feng_fish_proj,CCBY4,0
feng_sn_dropseq_proj,CCBY4,0
fischl_mri_proj,CCBY4,0
fischl_oct_proj,CCBY4,0
huang_antero_proj,CCBY4,0
huang_fmost_proj,CCBY4,0
huang_input_conn_proj,CCBY4,0
huang_pn_proj,CCBY4,0
huang_retro_proj,CCBY4,0
huang_sn_10xv2_proj,CCBY4,0
huang_stpt_conn_proj,CCBY4,0
huang_stpt_count_proj,CCBY4,0
HumanM110xProj,AIBSTOU,0
human_cortex,AIBSTOU,0
human_cortex,CCBY4,1
kriegstein_sc_10x_proj,CCBY4,0
kriegstein_sc_ATACseq_proj,CCBY4,0
kriegstein_sn_10x_proj,CCBY4,0
lein_sn_10x,CCBY4,0
lein_sn_SSv4_proj,CCBY4,0
mueller_mouselight_proj,CCBY4,0
nowakowski_evobc_proj,CCBY4,0
nowakowski_pndev_10xv3_proj,CCBY4,0
osten_stpt_proj,CCBY4,0
regev_cisi_proj,CCBY4,0
tasic_ATACseq_proj,CCBY4,0
tasic_stpt_proj,CCBY4,0
tilgner_sc_10x_PB,CCBY4,0
TransgenicSTPT,AIBSTOU,0
yang_MORF_confocal_proj,CCBY4,0
zeng_anderson_sc_10xv2_proj,CCBY4,0
zeng_fmost_proj,CCBY4,0
zeng_mouselight_proj,CCBY4,0
zeng_retro_proj,CCBY4,0
zeng_sc_10x_proj,CCBY4,0
zeng_sc_SSv4_proj,CCBY4,0
zeng_sn_10x_proj,CCBY4,0
zeng_sn_SSv4_proj,CCBY4,0
zeng_tolias_pseq_proj,CCBY4,0
zhangK_snareseq,CCBY4,0
zhangl_anatomy_proj,CCBY4,0
zhangl_seqfish_proj,CCBY4,0
zhuang_merfish_proj,CCBY4,0
dulac_hyp_sn_10x_proj,CCBY4,0
huang_macosko_sn_10xv3_proj,CCBY4,0
