web_resource_reference_id,web_resource_type,web_resource_title,web_resource_short_title,universal_resource_locator
http://aging.brain-map.org/,information,"Aging, Dementia and Traumatic Brain Injury (TBI)",Aging Dementia TBI,http://aging.brain-map.org/
http://celltypes.brain-map.org/data?donor__species=Homo%20Sapiens,explore,Allen Cell Types Database Filtered for Human,Allen Cell Types Database,http://celltypes.brain-map.org/data?donor__species=Homo%20Sapiens
http://celltypes.brain-map.org/data?donor__species=Mus%20musculus,explore,Allen Cell Types Database Filtered for Mouse,Allen Cell Types Database,http://celltypes.brain-map.org/data?donor__species=Mus%20musculus
http://celltypes.brain-map.org/donors,explore,Human Cell Types Donor Profiles,Allen Cell Types Database,http://celltypes.brain-map.org/donors
http://connectivity.brain-map.org/?searchMode=source&sourceDomain=304325711,explore,Mouse Connectivity Retina Projection Data Access,Mouse Connectivity Atlas,http://connectivity.brain-map.org/?searchMode=source&sourceDomain=304325711
http://connectivity.brain-map.org/?searchMode=source&sourceDomain=8&tracers=10,explore,Mouse Connectivity  Atlas Filtered for Anterograde EGFP,Mouse Connectivity Atlas,http://connectivity.brain-map.org/?searchMode=source&sourceDomain=8&tracers=10
http://connectivity.brain-map.org/?searchMode=source&tracers=20,explore,Mouse Connectivity Atlas Filtered for SypEGFP,Mouse Connectivity Atlas,http://connectivity.brain-map.org/?searchMode=source&tracers=20
http://connectivity.brain-map.org/?searchMode=source&tracers=30,explore,Mouse Connectivity Atlas Filtered for Target EGFP,Mouse Connectivity Atlas,http://connectivity.brain-map.org/?searchMode=source&tracers=30
http://connectivity.brain-map.org/bda-aav,explore,BDA/AAV Tracer Data Access,BDA AAV,http://connectivity.brain-map.org/bda-aav
http://connectivity.brain-map.org/static/referencedata,explore,Mouse Connectivity Reference Data Access,Connectivity Ref Data,http://connectivity.brain-map.org/static/referencedata
http://connectivity.brain-map.org/transgenic/search?brain=true&retina=false,explore,Mouse Connectivity Transgenic Characterization Filtered for Brain,Transgenic Characterization,http://connectivity.brain-map.org/transgenic/search?brain=true&retina=false
http://connectivity.brain-map.org/transgenic/search?retina=true,explore,Mouse Connectivity Transgenic Characterization Filtered for Retina,Transgenic Characterization,http://connectivity.brain-map.org/transgenic/search?retina=true
http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/
http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/
http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/
http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer_viral/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer_viral/
http://doi.org/10.17504/protocols.io.2srged6,view,Extraction of Nuclei from Brain Tissue,Extraction of Nuclei from Brain Tissue,https://doi.org/10.17504/protocols.io.2srged6
http://doi.org/10.17504/protocols.io.4xjgxkn,view,Triple Anterograde Tracing,Triple Anterograde Tracing,https://doi.org/10.17504/protocols.io.4xjgxkn
http://doi.org/10.17504/protocols.io.4xpgxmn,view,Quadruple Retrograde Tracing,Quadruple Retrograde Tracing,https://doi.org/10.17504/protocols.io.4xpgxmn
http://doi.org/10.17504/protocols.io.4xsgxne,view,TRIO tracing,TRIO tracing,https://doi.org/10.17504/protocols.io.4xsgxne
http://doi.org/10.17504/protocols.io.4zzgx76,view,Sequencing open chromatin of single cell nuclei: snATAC-seq V.2 ,snATAC-seq V.2 ,https://doi.org/10.17504/protocols.io.4zzgx76
http://doi.org/10.17504/protocols.io.63rhgm6,view,Nextera XT at 0.2X On the Mantis,Nextera XT at 0.2X On the Mantis,https://doi.org/10.17504/protocols.io.63rhgm6
http://doi.org/10.17504/protocols.io.7aehibe,view,Human Tissue Slicing and Dissections for Nuclear Isolations,Human Tissue Slicing and Dissections for Nuclear Isolations,https://doi.org/10.17504/protocols.io.7aehibe
