project_reference_id,project_title,project_short_title,project_description,project_type,doi_symbol,project_citation,information_web_resource_reference_id
Allen Brain Map,Allen Brain Map,Allen Brain Map,Projects of the Allen Institute for Brain Science.,program,,,https://portal.brain-map.org
BICCN,BRAIN Initiative Cell Census Network,BICCN,"NIH's Brain Research through Advancing Innovative Neurotechnologies (BRAIN) Initiative - Cell Census Network (BICCN) aims to provide researchers and the public with a comprehensive reference of the diverse cell types in human, mouse, and non-human primate brain. A network of integrated centers and laboratories including U01, RF1, and U19 data generating centers, R24 data archives, and a U24 Brain Cell Data Center (BCDC) are working collaboratively to generate, map, and share these data with the community.",program,,,https://www.biccn.org/
ACTD,Allen Cell Types Database,Allen Cell Types Database,"The goal of the Allen Cell Types Database is to characterize, in a systematic and standardized manner, individual neurons in neocortical and thalamic regions of the mouse and adult human brain. This characterization includes: intrinsic electrophysiology properties, neuron morphology, transcriptomics profile, and/or parameters from multiple computational models incorporating one  or more of these experimentally defined modalities. Through clustering and correlational  analyses  of these different modalities, we seek to characterize neuronal cell types, and to enable cross-species comparison.",sub program,,,https://celltypes.brain-map.org/
R24 Ghosh,DANDI: Distributed Archives for Neurophysiology Data Integration,R24 Ghosh,DANDI: Distributed Archives for Neurophysiology Data Integration,sub program,,,https://biccn.org/teams/r24-ghosh
R24 Ropelewski,A Confocal Fluorescence Microscopy Brain Data Archive,R24 Ropelewski,A Confocal Fluorescence Microscopy Brain Data Archive,sub program,,,https://biccn.org/teams/r24-ropelewski
R24 White,A BRAIN Initiative resource: The neuroscience multi-omic data archive,R24 White,A BRAIN Initiative resource: The neuroscience multi-omic data archive,sub program,,,https://biccn.org/teams/r24-white
RF1 Chung,"Highly specific, renewable, and cost-effective antibody toolbox for 3D proteomic phenotyping of the brain",RF1 Chung,"Highly specific, renewable, and cost-effective antibody toolbox for 3D proteomic phenotyping of the brain",sub program,,,https://biccn.org/teams/rf1-chung
RF1 Kim,Establishing Common Coordinate Framework for Quantitative Cell Census in Developing Mouse Brains,RF1 Kim,Establishing Common Coordinate Framework for Quantitative Cell Census in Developing Mouse Brains,sub program,,,https://biccn.org/teams/rf1-kim
RF1 Levi,Development of tools for cell-type specific labeling of human and mouse neocortical neurons,RF1 Levi,Development of tools for cell-type specific labeling of human and mouse neocortical neurons,sub program,,,
RF1 Macosko,A high-resolution molecular and lineage atlas of the mouse brain using Slide-seq,RF1 Macosko,A high-resolution molecular and lineage atlas of the mouse brain using Slide-seq,sub program,,,
RF1 Mueller,"Accessible technologies for high-throughput, whole-brain reconstructions of molecularly characterized mammalian neurons",RF1 Mueller,"Data were generated in collaboration with the Mouse Light Project at Janelia following the protocols described in Winnubst et al. (2019) Cell 179, 268-281.",sub program,,,https://biccn.org/teams/rf1-mueller
RF1 Nowakowski,Mapping Developmental Lineage Relationships in the Cerebral Cortex,RF1 Nowakowski,Mapping Developmental Lineage Relationships in the Cerebral Cortex,sub program,,,https://biccn.org/teams/rf1-nowakowski
RF1 Regev,Scaling up spatial RNA profiling with compressed sensing,RF1 Regev,Scaling up spatial RNA profiling with compressed sensing,sub program,,,https://biccn.org/teams/rf1-regev
RF1 Ren,Ultra-high Throughout Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Mouse and Human Brains,RF1 Ren,Ultra-high Throughout Single Cell Multi-omic Analysis of Histone Modifications and Transcriptome in Mouse and Human Brains,sub program,,,
RF1 Roussos,A regulome and transcriptome atlas of fetal and adult human neurogenesis,RF1 Roussos,A regulome and transcriptome atlas of fetal and adult human neurogenesis,sub program,,,
RF1 Shepherd,Scalable 3D molecular imaging and data analysis for cell census generation,RF1 Shepherd,Scalable 3D molecular imaging and data analysis for cell census generation,sub program,,,
RF1 Tasic,Cell class- or type-specific viruses for brain-wide labeling and neural circuit examination,RF1 Tasic,Cell class- or type-specific viruses for brain-wide labeling and neural circuit examination,sub program,,,https://biccn.org/teams/rf1-tasic
RF1 Tilgner,Single Cell Isoform Expression Across Mouse Brain Regions and Development,RF1 Tilgner,Single Cell Isoform Expression Across Mouse Brain Regions and Development,sub program,,,https://biccn.org/teams/rf1-tilgner
