Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
CUX-L01-0007,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,8663,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P57;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
CUX-L01-0008,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,7733,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Female n=5;adult P55;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
CUX-L01-0009,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,9047,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P58;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
CUX-L01-0010,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,9352,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Female n=5;adult P58;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
CUX-L01-0011,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,7753,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P58;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
CUX-L01-0012,mouse,NCBI:txid10090,,Cux2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,9206,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Cux2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Female n=5;adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
FEZ-L01-0001,mouse,NCBI:txid10090,,Fezf2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,6701,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Fezf2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
FEZ-L01-0002,mouse,NCBI:txid10090,,Fezf2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,9053,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Fezf2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Female n=5;adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
FEZ-L01-0003,mouse,NCBI:txid10090,,Fezf2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,8436,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Fezf2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Male n=5;adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
FEZ-L01-0004,mouse,NCBI:txid10090,,Fezf2-CreERT2;Sun1-sfGFP,transcriptomics,10x Chromium 3' v3 sequencing,SSp;SSs;VISC;GU;Aip,nuclei,7323,Harvard University,Paola Arlotta,1-U19-MH114821-01,huang_pn_sn_10xv3,NeMO,,Fezf2-lineage projection neurons;FACS-GFP;Tamoxifen P7;Female n=5;adult P56;coronal 1mm;0.13 to -0.47 mm ant. ac,2020Q4,,,,,,,,,,,
