data_collection_reference_id,species_name
ConnAntCreSypEGFP,mouse
ConnAntTarget,mouse
ConnBdaAav,mouse
ConnEGFP,mouse
ConnRef,mouse
ConnRetinaProjection,mouse
ConnRetinaVertical,mouse
ConnTG,mouse
DevHumanISH,human
DevHumanMA,human
DevHumanRef,human
DevHumanTrans,human
DevMouse,mouse
DevMouseRef,mouse
DevMouseRefAtlas,mouse
HumanASD,human
HumanCellTypeDonors,human
HumanCtx,human
HumanGBMISH,human
HumanGBMRNASeq,human
HumanM110x,human
HumanMA,human
HumanME,human
HumanMTGSS,human
HumanNT,human
HumanPSeqL23_E,human
HumanPSeqL23_M,human
HumanPSeqL23_T,human
HumanSubCtx,human
HumanSZ,human
HumanTBI,human
HumanV1ACCSS,human
MouseCTXHIP10x,mouse
MouseCTXHIPSS,mouse
MouseDiv,mouse
MouseISH,mouse
MouseME,mouse
MousePSeqVIS_E,mouse
MousePSeqVIS_M,mouse
MousePSeqVIS_T,mouse
MouseSpinalISH,mouse
MouseSpinalRef,mouse
NhpISHForebrain,mouse
NhpLMA,rhesus macaque
NhpMM,rhesus macaque
NhpMMA,rhesus macaque
NhpRef,rhesus macaque
NpxVc,mouse
SleepISH,mouse
VisCodOphys,mouse
zeng_expr_char,mouse
dong_antero,mouse
dong_retro,mouse
dong_trio,mouse
ecker_sn_ATACseq,mouse
ecker_sn_mCseq,mouse
ecker_sn_mCseq_retro,mouse
ecker_trio,mouse
feng_fish,marmoset
feng_sn_dropseq,marmoset
huang_antero,mouse
huang_pn_bulk_SSv4,mouse
huang_pn_sn_10xv2,mouse
huang_retro,mouse
huang_sn_10xv2,mouse
huang_stpt_conn,mouse
huang_stpt_count,mouse
kriegstein_sc_10xv2,human
kriegstein_sc_ATACseq,human
kriegstein_sn_10xv2,human
lein_sn_10xv2,human
lein_sn_10xv3,human
lein_sn_SSv4,human
osten_stpt,mouse
yang_MORF_confocal,mouse
zeng_anderson_sc_10xv2,mouse
zeng_fmost,mouse
zeng_fmost_cells,mouse
zeng_mouselight,mouse
zeng_retro,mouse
zeng_sc_10xv2,mouse
zeng_sc_10xv3,mouse
zeng_sc_SSv4,mouse
zeng_sn_10xv2,mouse
zeng_sn_10xv3,mouse
zeng_sn_SSv4,mouse
zeng_tolias_pseq_m,mouse
zeng_tolias_pseq_t,mouse
zeng_tolias_pseq_e,mouse
zhuang_merfish,mouse
zhangK_cj_snareseq_AC,marmoset
zhangK_cj_snareseq_R,marmoset
zhangK_hs_snareseq_AC,human
zhangK_hs_snareseq_R,human
zhangl_seqfish,mouse
huang_sn_10xv3,mouse
ecker_hu_DNAseq,human
fischl_mri,human
fischl_oct,human
tasic_ATACseq,mouse
tasic_stpt,mouse
MacaqueM110x,rhesus macaque
zhangl_anatomy,mouse
human_cortex_SS4_counts,human
human_cortex_SS4_Open_GRU,human
human_cortex_SS4_restricted_GRU,human
human_cortex_SS4_restricted_limited,human
ecker_hu_sn_ATACseq,human
ecker_hu_sn_mCseq,human
feng_morph,marmoset
regev_cisi,mouse
huang_fmost,mouse
huang_fmost_cells,mouse
mueller_mouselight,mouse
feng_sn_10xv3,marmoset
yang_morf_cells,mouse
huang_pn_sn_10xv3,mouse
nowakowski_evobc,mouse
kriegstein_sc_10xv3,human
