project_reference_id,license_reference_id,priority_order
ConnProjection,AIBSTOU,0
ConnBdaAavProj,AIBSTOU,0
ConnRefProject,AIBSTOU,0
ConnRetina,AIBSTOU,0
ConnRetinaVertProj,AIBSTOU,0
ConnTransChar,AIBSTOU,0
DevHumanISHProj,AIBSTOU,0
DevHumanMAProj,AIBSTOU,0
DevHumanRefProj,AIBSTOU,0
DevHumanTransProj,AIBSTOU,0
DevMouseProj,AIBSTOU,0
DevMouseRefAtlasProj,AIBSTOU,0
HumanASDProj,AIBSTOU,0
HumanCellTypes,AIBSTOU,0
HumanCtxProj,AIBSTOU,0
HumanGBMRNASeqProj,AIBSTOU,0
HumanM110xProj,AIBSTOU,0
HumanM110xProj,CCBY4,1
HumanMAProj,AIBSTOU,0
HumanMTGSSProj,AIBSTOU,0
HumanNTProj,AIBSTOU,0
HumanPSeqL23Proj,AIBSTOU,0
HumanSubCtxProj,AIBSTOU,0
HumanSZProj,AIBSTOU,0
HumanTBIProj,AIBSTOU,0
HumanV1ACCSSProj,AIBSTOU,0
MouseCTXHIP10xProj,AIBSTOU,0
MouseCTXHIPSSProj,AIBSTOU,0
MouseDivProj,AIBSTOU,0
MouseISHProj,AIBSTOU,0
MouseCellTypes,AIBSTOU,0
MousePSeqVISProj,AIBSTOU,0
MouseSpinalISHProj,AIBSTOU,0
MouseSpinalRefProj,AIBSTOU,0
NhpISHProj,AIBSTOU,0
NHPMAProj,AIBSTOU,0
NhpRefProj,AIBSTOU,0
NpxVcProj,AIBSTOU,0
SleepStudy,AIBSTOU,0
VisCodOphysProj,AIBSTOU,0
TransgenicSTPT,AIBSTOU,0
TransgenicSTPT,CCBY4,1
HumanGBMISHProj,AIBSTOU,0
dong_antero_proj,CCBY4,0
dong_retro_proj,CCBY4,0
dong_trio_proj,CCBY4,0
ecker_sn_ATACseq_proj,CCBY4,0
ecker_sn_mCseq_proj,CCBY4,0
ecker_sn_mCseq_retro_proj,CCBY4,0
ecker_trio_proj,CCBY4,0
feng_fish_proj,CCBY4,0
feng_sn_dropseq_proj,CCBY4,0
huang_antero_proj,CCBY4,0
huang_pn_proj,CCBY4,0
huang_retro_proj,CCBY4,0
huang_sn_10xv2_proj,CCBY4,0
huang_stpt_conn_proj,CCBY4,0
huang_stpt_count_proj,CCBY4,0
kriegstein_sc_10x_proj,CCBY4,0
kriegstein_sc_ATACseq_proj,CCBY4,0
kriegstein_sn_10x_proj,CCBY4,0
lein_sn_10x,AIBSTOU,0
lein_sn_10x,CCBY4,1
lein_sn_SSv4_proj,AIBSTOU,0
lein_sn_SSv4_proj,CCBY4,1
osten_stpt_proj,CCBY4,0
yang_MORF_confocal_proj,CCBY4,0
zeng_anderson_sc_10xv2_proj,CCBY4,0
zeng_fmost_proj,CCBY4,1
zeng_fmost_proj,AIBSTOU,0
zeng_mouselight_proj,CCBY4,1
zeng_mouselight_proj,AIBSTOU,0
zeng_retro_proj,CCBY4,1
zeng_retro_proj,AIBSTOU,0
zeng_sc_10x_proj,CCBY4,1
zeng_sc_10x_proj,AIBSTOU,0
zeng_sc_SSv4_proj,CCBY4,1
zeng_sc_SSv4_proj,AIBSTOU,0
zeng_sn_10x_proj,CCBY4,1
zeng_sn_10x_proj,AIBSTOU,0
zeng_sn_SSv4_proj,CCBY4,1
zeng_sn_SSv4_proj,AIBSTOU,0
zeng_tolias_pseq_proj,CCBY4,0
zhuang_merfish_proj,CCBY4,0
zhangK_snareseq,CCBY4,0
zhangl_seqfish_proj,CCBY4,0
ecker_hu_DNAseq_proj,CCBY4,0
zhangl_anatomy_proj,CCBY4,0
human_cortex,AIBSTOU,0
human_cortex,CCBY4,1
ecker_hu_sn_ATACseq_proj,CCBY4,0
ecker_hu_sn_mCseq_proj,CCBY4,0
regev_cisi_proj,CCBY4,0
huang_fmost_proj,CCBY4,0
mueller_mouselight_proj,CCBY4,0
nowakowski_evobc_proj,CCBY4,0
