data_collection_reference_id,web_resource_reference_id,priority_order
HumanM110x,https://celltypes.brain-map.org/rnaseq/human_m1_10x,0
zeng_expr_char,https://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,0
dong_antero,https://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,0
dong_retro,https://download.brainimagelibrary.org/biccn/dong/retrograde/,0
dong_trio,https://download.brainimagelibrary.org/biccn/dong/trio/,0
ecker_sn_ATACseq,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,0
ecker_sn_mCseq,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,0
ecker_sn_mCseq_retro,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,0
ecker_trio,https://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,0
feng_fish,https://download.brainimagelibrary.org/biccn/feng/fish/,0
feng_sn_dropseq,https://data.nemoarchive.org/biccn/grant/feng/feng/transcriptome/sncell/,0
huang_antero,https://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,0
huang_pn_bulk_SSv4,https://assets.nemoarchive.org/dat-s82jegu,0
huang_pn_sn_10xv2,https://assets.nemoarchive.org/dat-mq52tet,0
huang_retro,https://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,0
huang_sn_10xv2,https://assets.nemoarchive.org/dat-vutwbqm,0
huang_stpt_conn,https://download.brainimagelibrary.org/biccn/huang/connectivity/anterograde/,0
huang_stpt_count,https://download.brainimagelibrary.org/biccn/huang/cellcounting/,0
kriegstein_sc_10xv2,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell/,0
kriegstein_sc_ATACseq,https://assets.nemoarchive.org/dat-gnot1gb,0
kriegstein_sn_10xv2,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell/,0
lein_sn_10xv2,http://data.nemoarchive.org/biccn/grant/lein/linnarsson/transcriptome/sncell/10X/,0
osten_stpt,https://download.brainimagelibrary.org/biccn/osten/cellcounting/,0
yang_MORF_confocal,https://download.brainimagelibrary.org/biccn/yang/morf/confocal/,0
zeng_anderson_sc_10xv2,http://data.nemoarchive.org/biccn/grant/zeng/anderson/transcriptome/scell/10x/,0
zeng_fmost,https://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,0
zeng_fmost_cells,https://download.brainimagelibrary.org/b4/d4/b4d4211078a67217/,0
zeng_mouselight,https://download.brainimagelibrary.org/biccn/zeng/mouselight/,0
zeng_retro,https://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,0
zeng_sc_10xv2,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,0
zeng_sc_10xv3,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/raw/,0
zeng_sc_SSv4,https://data.nemoarchive.org/biccn/grant/zeng/tasic/transcriptome/scell/,0
zeng_sn_10xv2,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/10X/,0
zeng_sn_10xv3,http://data.nemoarchive.org/biccn/grant/zeng/zeng/transcriptome/snuc/10X/raw/,0
zeng_sn_SSv4,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,0
zeng_tolias_pseq_m,https://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,0
zeng_tolias_pseq_t,http://data.nemoarchive.org/biccn/grant/zeng/tolias/,0
zeng_tolias_pseq_e,http://identifiers.org/DANDI:000008,0
zhuang_merfish,https://download.brainimagelibrary.org/biccn/zeng/zhuang/merfish/,0
zhangK_cj_snareseq_AC,http://data.nemoarchive.org/biccn/grant/zhang/zhang/marmoset/raw/SNARE2-AC/,0
zhangK_cj_snareseq_R,http://data.nemoarchive.org/biccn/grant/zhang/zhang/marmoset/raw/SNARE2-R/,0
zhangl_seqfish,https://download.brainimagelibrary.org/biccn/zhangl/seqfish/,0
huang_sn_10xv3,https://assets.nemoarchive.org/dat-svco5za,0
fischl_mri,https://gui.dandiarchive.org/#/dandiset/000026,0
fischl_oct,https://gui.dandiarchive.org/#/dandiset/000026,0
tasic_ATACseq,https://data.nemoarchive.org/biccn/grant/zeng/tasic/chromatin/scell/,0
tasic_stpt,https://download.brainimagelibrary.org/biccn/tasic/stpt/,0
zhangl_anatomy,https://download.brainimagelibrary.org/biccn/zhangl/anatomy,0
human_cortex_SS4_counts,https://celltypes.brain-map.org/rnaseq/human_ctx_smart-seq,0
human_cortex_SS4_counts,https://portal.brain-map.org/atlases-and-data/rnaseq/human-multiple-cortical-areas-smart-seq,1
human_cortex_SS4_Open_GRU,https://assets.nemoarchive.org/dat-72qka5t,0
human_cortex_SS4_restricted_GRU,https://assets.nemoarchive.org/dat-2c8otht,0
human_cortex_SS4_restricted_limited,https://assets.nemoarchive.org/dat-swzf4kc,0
feng_morph,https://download.brainimagelibrary.org/biccn/feng/morph/,0
regev_cisi,https://download.brainimagelibrary.org/biccn/regev/cisi,0
huang_fmost,https://download.brainimagelibrary.org/biccn/huang/fmost/,0
huang_fmost_cells,https://download.brainimagelibrary.org/biccn/huang/fmost/,0
feng_sn_10xv3,https://data.nemoarchive.org/biccn/grant/feng/feng/transcriptome/sncell/,0
huang_pn_sn_10xv3,https://assets.nemoarchive.org/dat-pe2ejct,0
nowakowski_evobc,http://data.nemoarchive.org/biccn/grant/nowakowski/transcriptome/scell/,0
kriegstein_sc_10xv3,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell/,0
