data_collection_reference_id,data_collection_title,data_collection_short_title,data_collection_description,categorical_access_control_state,categorical_completion_state,last_updated_at_date
HumanM110x,Human - M1 - 10x,Human M1 10x,RNA sequencing data from single human nuclei from M1 profiled by 10x.,,complete,
zeng_expr_char,Transgene Expression Data By Serial Two Photon Tomography,Serial two photon tomography,Serial two photon tomography of specific transgenic lines to support CCF annotation.,open,complete,2018/12/12
dong_antero,Cre-dependent anterograde pathway tracing,Anterograde tracing,Fluorescent imaging of brain tissue sections marked by Cre-dependent anterograde tracer injections with nissl counterstain.,open,in progress,2020/06/24
dong_retro,Retrograde pathway tracing,Retrograde tracing,Fluorescent imaging of brain tissue sections labeled by 3-5 retrograde tracers with nissl counterstain.,open,in progress,2020/06/24
dong_trio,Tracing the relationship between input and output (TRIO),TRIO,Fluorescent imaging of brain tissue sections labeled by Cre-dependent rabies viral tracers with nissl counterstain.,open,in progress,2020/06/24
ecker_sn_ATACseq,Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2),Chromatin accessibility,Single nucleus ATACseq chromatin accessibility data.,open,in progress,2021/02/16
ecker_sn_mCseq,DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1),Methylation nuclei,Single nucleus DNA methylation data.,open,in progress,2021/02/16
ecker_sn_mCseq_retro,Regional DNA methylation profiling of individual projection neurons isolated from the mouse brain (RS2.1),Methylation projection neurons,Single nucleus DNA methylation data from cells labeled by retrograde tracers.,open,in progress,2021/02/16
ecker_trio,Linking inputs to outputs of projection neurons within epigenetically defined regions in the mouse brain (RS2.2),TRIO tracing,Fluorescent imaging of brain tissue sections labeled by TRIO tracing using 3 different viruses.,open,in progress,2020/06/24
feng_fish,A Molecular and Cellular Atlas of the Marmoset Brain - FISH imaging,FISH,Fluorescent in situ hybridization of sparsely labeled GFP cells across 16 brain regions.,open,in progress,2020/10/07
feng_sn_dropseq,A Molecular and Cellular Atlas of the Marmoset Brain - Dropseq,Dropseq,Single nucleus RNA sequencing of cells from marmoset brain.,open,complete,2021/02/16
huang_antero,Triple anterograde pathway tracing,Anterograde tracing,Fluorescent imaging of brain tissue sections marked by anterograde tracer injections with nissl counterstain.,open,in progress,2020/06/24
huang_pn_bulk_SSv4,Transcriptomic profiling of bulk sorted nuclei from cortical projection neurons: SMART-Seq v4,Bulk nuclei SSv4,SMART-seq v4 sequencing from bulk nuclei sorted from fluorescently labeled cortical projection neurons.,open,in progress,2020/06/24
huang_pn_sn_10xv2,Transcriptomic profiling of single nuclei from cortical projection neurons: 10x v2,Single nucleus 10x v2,High-throughput single-nucleus RNA sequencing using 10x v2 of genetically labelled projection neuron (PN) populations of selected cortical regions.,open,in progress,2020/06/24
huang_retro,Quadruple retrograde pathway tracing,Quadruple retrograde,Fluorescent imaging of brain tissue sections labeled by 4 retrograde tracers with nissl counterstain.,open,in progress,2020/06/24
huang_sn_10xv2,Transcriptomic cell types in the mouse brain: 10x nuclei (v2),Single nucleus 10xv2,Single nucleus profiling of cell types using 10X v2.,open,in progress,2019/05/08
huang_stpt_conn,Cre-dependent anterograde tracing in the forebrain,Anterograde tracing,Serial two photon tomography of mouse brain labeled with fluorescent Cre-dependent anterograde tracing.,open,in progress,2020/08/25
huang_stpt_count,Projection Neuron subpopulation cell soma location and distribution,Serial two photon tomography,Serial two photon tomography of projection neuron subtypes labeled by transgenic strategies.,open,in progress,2018/12/12
kriegstein_sc_10xv2,Single-Cell Sequencing of the Developing Human Brain - 10x v2,10x 3' v2 sequencing,Single-cell sequencing of a variety of cortical regions and sub-cortical structures from 20 intact first and second trimester brain samples.,,,2021/02/16
kriegstein_sc_ATACseq,Single-Cell ATAC-seq of the Developing Human Brain,Single cell ATAC-seq,"Chromatin accessibility of >75,000 cells from eight distinct areas of developing human forebrain using single cell ATAC-seq (scATACseq).",controlled,in progress,2020/02/06
kriegstein_sn_10xv2,Single-Nuclei Sequencing of Late Stages of Human Brain Development and Early Postnatal Life,10x 3' v2 sequencing,Single-nucleus RNA sequencing (snRNA-seq) of more than 100 post-mortem human cortical tissue samples from over 50 individuals and three cortical areas.,,,2021/02/16
lein_sn_10xv2,Transcriptomic characterization of cell types in human brain: 10x nuclei v2,10x 3' v2 sequencing,Broad transcriptomic survey of ~100 regions of adult postmortem human brain and spinal cord.,,in progress,2021/02/16
