project_reference_id,species_name
HumanM110xProj,human
TransgenicSTPT,mouse
dong_antero_proj,mouse
dong_retro_proj,mouse
dong_trio_proj,mouse
ecker_sn_ATACseq_proj,mouse
ecker_sn_mCseq_proj,mouse
ecker_sn_mCseq_retro_proj,mouse
ecker_trio_proj,mouse
feng_fish_proj,marmoset
feng_sn_dropseq_proj,marmoset
huang_antero_proj,mouse
huang_pn_proj,mouse
huang_retro_proj,mouse
huang_sn_10xv2_proj,mouse
huang_stpt_conn_proj,mouse
huang_stpt_count_proj,mouse
kriegstein_sc_10x_proj,human
kriegstein_sc_ATACseq_proj,human
kriegstein_sn_10x_proj,human
lein_sn_10x,human
lein_sn_SSv4_proj,human
osten_stpt_proj,mouse
yang_MORF_confocal_proj,mouse
zeng_anderson_sc_10xv2_proj,mouse
zeng_fmost_proj,mouse
zeng_mouselight_proj,mouse
zeng_retro_proj,mouse
zeng_sc_10x_proj,mouse
zeng_sc_SSv4_proj,mouse
zeng_sn_10x_proj,mouse
zeng_sn_SSv4_proj,mouse
zeng_tolias_pseq_proj,mouse
zhuang_merfish_proj,mouse
zhangK_snareseq,human
zhangK_snareseq,marmoset
zhangl_seqfish_proj,mouse
ecker_hu_DNAseq_proj,human
fischl_mri_proj,human
fischl_oct_proj,human
tasic_ATACseq_proj,mouse
tasic_stpt_proj,mouse
zhangl_anatomy_proj,mouse
human_cortex,human
ecker_hu_sn_ATACseq_proj,human
ecker_hu_sn_mCseq_proj,human
regev_cisi_proj,mouse
huang_fmost_proj,mouse
mueller_mouselight_proj,mouse
nowakowski_evobc_proj,mouse
