data_collection_reference_id,specimen_type_name,reported_count
zeng_expr_char,whole brain,53
dong_antero,brain section set,41
dong_retro,brain section set,126
dong_trio,brain section set,45
ecker_sn_ATACseq,cell nucleus,1809020
ecker_sn_mCseq,cell nucleus,188167
ecker_sn_mCseq_retro,cell nucleus,45797
ecker_trio,brain section set,31
feng_fish,cell in slice,45
feng_fish,cell in slice,45
feng_sn_dropseq,cell nucleus,834367
huang_antero,brain section set,43
huang_pn_bulk_SSv4,bulk nucleus,19
huang_pn_sn_10xv2,cell nucleus,106093
huang_retro,brain section set,45
huang_sn_10xv2,cell nucleus,469176
huang_stpt_conn,whole brain,211
huang_stpt_count,whole brain,36
kriegstein_sc_10xv2,whole cell,736509
kriegstein_sc_ATACseq,cell nucleus,156334
kriegstein_sn_10xv2,cell nucleus,1823807
lein_sn_10xv2,cell nucleus,180766
lein_sn_10xv3,cell nucleus,1709430
lein_sn_SSv4,cell nucleus,4481
osten_stpt,whole brain,393
yang_MORF_confocal,tissue sample,16
zeng_anderson_sc_10xv2,whole cell,168877
zeng_fmost,whole brain,51
zeng_fmost_cells,whole cell,1698
zeng_mouselight,whole brain,1
zeng_retro,whole brain,672
zeng_sc_10xv2,whole cell,2459753
zeng_sc_10xv3,whole cell,1315525
zeng_sc_SSv4,whole cell,156374
zeng_sn_10xv2,cell nucleus,90902
zeng_sn_10xv3,cell nucleus,90382
zeng_sn_SSv4,cell nucleus,6816
zeng_tolias_pseq_m,cell in slice,1320
zeng_tolias_pseq_t,cell nucleus,1320
zeng_tolias_pseq_e,cell in slice,1320
zhuang_merfish,brain slice,3200000
zhangK_cj_snareseq_AC,cell nucleus,10780
zhangK_cj_snareseq_R,cell nucleus,12232
zhangK_hs_snareseq_AC,cell nucleus,159166
zhangK_hs_snareseq_R,cell nucleus,170224
zhangl_seqfish,spinal cord slice,2
huang_sn_10xv3,cell nucleus,3315317
ecker_hu_DNAseq,tissue sample,3
fischl_mri,brain hemisphere,1
fischl_oct,brain slice,9
tasic_ATACseq,whole cell,13093
tasic_stpt,whole brain,22
zhangl_anatomy,spinal cord,2
ecker_hu_sn_ATACseq,cell nucleus,267126
ecker_hu_sn_mCseq,cell nucleus,5901
feng_morph,whole cell,45
regev_cisi,brain slice,1
huang_fmost,whole brain,111
feng_sn_10xv3,cell nucleus,83276
yang_morf_cells,whole cell,238
huang_pn_sn_10xv3,cell nucleus,99075
nowakowski_evobc,whole cell,20424
kriegstein_sc_10xv3,whole cell,259015
