organization_reference_id,organization_name,ror_symbol
Allen Institute for Brain Science,Allen Institute for Brain Science,
National Institute of Mental Health,National Institute of Mental Health,
University of California at San Diego,University of California at San Diego,
Broad Institute,Broad Institute,
Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,
Johns Hopkins University,Johns Hopkins University,
Massachusetts General Hospital,Massachusetts General Hospital,
Massachusetts Institute of Technology,Massachusetts Institute of Technology,
Pittsburgh Supercomputing Center,Pittsburgh Supercomputing Center,
Salk Institute for Biological Studies,Salk Institute for Biological Studies,
University of California at Los Angeles,University of California at Los Angeles,
University of California at San Francisco,University of California at San Francisco,
University of Maryland,University of Maryland,
University of Southern California,University of Southern California,
University of Washington,University of Washington,
Weill Medical College of Cornell University,Weill Medical College of Cornell University,
