project_reference_id,data_collection_reference_id,priority_order
ConnProjection,ConnAntCreSypEGFP,0
ConnProjection,ConnAntTarget,1
ConnProjection,ConnEGFP,2
ConnBdaAavProj,ConnBdaAav,0
ConnRefProject,ConnRef,0
ConnRetina,ConnRetinaProjection,0
ConnRetinaVertProj,ConnRetinaVertical,0
ConnTransChar,ConnTG,0
DevHumanISHProj,DevHumanISH,0
DevHumanMAProj,DevHumanMA,0
DevHumanRefProj,DevHumanRef,0
DevHumanTransProj,DevHumanTrans,0
DevMouseProj,DevMouse,0
DevMouseRefAtlasProj,DevMouseRef,0
DevMouseRefAtlasProj,DevMouseRefAtlas,1
HumanASDProj,HumanASD,0
HumanCellTypes,HumanCellTypeDonors,0
HumanCellTypes,HumanME,1
HumanCtxProj,HumanCtx,0
HumanGBMRNASeqProj,HumanGBMRNASeq,0
HumanM110xProj,HumanM110x,0
HumanMAProj,HumanMA,0
HumanMTGSSProj,HumanMTGSS,0
HumanNTProj,HumanNT,0
HumanPSeqL23Proj,HumanPSeqL23_E,0
HumanPSeqL23Proj,HumanPSeqL23_M,1
HumanPSeqL23Proj,HumanPSeqL23_T,2
HumanSubCtxProj,HumanSubCtx,0
HumanSZProj,HumanSZ,0
HumanTBIProj,HumanTBI,0
HumanV1ACCSSProj,HumanV1ACCSS,0
MouseCTXHIP10xProj,MouseCTXHIP10x,0
MouseCTXHIPSSProj,MouseCTXHIPSS,0
MouseDivProj,MouseDiv,0
MouseISHProj,MouseISH,0
MouseCellTypes,MouseME,0
MousePSeqVISProj,MousePSeqVIS_E,0
MousePSeqVISProj,MousePSeqVIS_M,1
MousePSeqVISProj,MousePSeqVIS_T,2
MouseSpinalISHProj,MouseSpinalISH,0
MouseSpinalRefProj,MouseSpinalRef,0
NhpISHProj,NhpISHForebrain,0
NhpISHProj,NhpMM,1
NHPMAProj,NhpLMA,0
NHPMAProj,NhpMMA,1
NhpRefProj,NhpRef,0
NpxVcProj,NpxVc,0
SleepStudy,SleepISH,0
VisCodOphysProj,VisCodOphys,0
TransgenicSTPT,zeng_expr_char,0
HumanGBMISHProj,HumanGBMISH,0
dong_antero_proj,dong_antero,0
dong_retro_proj,dong_retro,0
dong_trio_proj,dong_trio,0
ecker_sn_ATACseq_proj,ecker_sn_ATACseq,0
ecker_sn_mCseq_proj,ecker_sn_mCseq,0
ecker_sn_mCseq_retro_proj,ecker_sn_mCseq_retro,0
ecker_trio_proj,ecker_trio,0
feng_fish_proj,feng_fish,0
feng_fish_proj,feng_morph,1
feng_sn_dropseq_proj,feng_sn_dropseq,1
feng_sn_dropseq_proj,feng_sn_10xv3,0
huang_antero_proj,huang_antero,0
huang_pn_proj,huang_pn_bulk_SSv4,0
huang_pn_proj,huang_pn_sn_10xv2,1
huang_pn_proj,huang_pn_sn_10xv3,2
huang_retro_proj,huang_retro,0
huang_sn_10xv2_proj,huang_sn_10xv2,0
huang_sn_10xv2_proj,huang_sn_10xv3,1
huang_stpt_conn_proj,huang_stpt_conn,0
huang_stpt_count_proj,huang_stpt_count,0
kriegstein_sc_10x_proj,kriegstein_sc_10xv2,0
kriegstein_sc_10x_proj,kriegstein_sc_10xv3,1
kriegstein_sc_ATACseq_proj,kriegstein_sc_ATACseq,0
kriegstein_sn_10x_proj,kriegstein_sn_10xv2,0
lein_sn_10x,lein_sn_10xv2,0
lein_sn_10x,lein_sn_10xv3,1
lein_sn_SSv4_proj,lein_sn_SSv4,0
osten_stpt_proj,osten_stpt,0
yang_MORF_confocal_proj,yang_MORF_confocal,0
yang_MORF_confocal_proj,yang_morf_cells,1
zeng_anderson_sc_10xv2_proj,zeng_anderson_sc_10xv2,0
zeng_fmost_proj,zeng_fmost,0
zeng_fmost_proj,zeng_fmost_cells,1
zeng_mouselight_proj,zeng_mouselight,0
zeng_retro_proj,zeng_retro,0
zeng_sc_10x_proj,zeng_sc_10xv2,0
zeng_sc_10x_proj,zeng_sc_10xv3,1
zeng_sc_SSv4_proj,zeng_sc_SSv4,0
zeng_sn_10x_proj,zeng_sn_10xv2,0
zeng_sn_10x_proj,zeng_sn_10xv3,1
zeng_sn_SSv4_proj,zeng_sn_SSv4,0
zeng_tolias_pseq_proj,zeng_tolias_pseq_m,1
zeng_tolias_pseq_proj,zeng_tolias_pseq_t,2
zeng_tolias_pseq_proj,zeng_tolias_pseq_e,0
zhuang_merfish_proj,zhuang_merfish,0
zhangK_snareseq,zhangK_cj_snareseq_AC,0
zhangK_snareseq,zhangK_cj_snareseq_R,1
zhangK_snareseq,zhangK_hs_snareseq_AC,2
zhangK_snareseq,zhangK_hs_snareseq_R,3
zhangl_seqfish_proj,zhangl_seqfish,0
ecker_hu_DNAseq_proj,ecker_hu_DNAseq,0
fischl_mri_proj,fischl_mri,0
fischl_oct_proj,fischl_oct,0
tasic_ATACseq_proj,tasic_ATACseq,0
tasic_stpt_proj,tasic_stpt,0
MacaqueM110xProj,MacaqueM110x,0
zhangl_anatomy_proj,zhangl_anatomy,0
human_cortex,human_cortex_SS4_counts,1
human_cortex,human_cortex_SS4_Open_GRU,0
human_cortex,human_cortex_SS4_restricted_GRU,2
human_cortex,human_cortex_SS4_restricted_limited,3
ecker_hu_sn_ATACseq_proj,ecker_hu_sn_ATACseq,0
ecker_hu_sn_mCseq_proj,ecker_hu_sn_mCseq,0
regev_cisi_proj,regev_cisi,0
huang_fmost_proj,huang_fmost,0
huang_fmost_proj,huang_fmost_cells,1
mueller_mouselight_proj,mueller_mouselight,0
nowakowski_evobc_proj,nowakowski_evobc,0
