person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
David J Anderson,David J Anderson,David,Anderson,0000-0001-6175-3872
Aparna Bhaduri,Aparna Bhaduri,Aparna,Bhaduri,0000-0003-4625-6899
Edward Callaway,Edward Callaway,Edward,Callaway,0000-0002-6366-5267
Hong-Wei Dong,Hong-Wei Dong,Hong-Wei,Dong,0000-0001-9972-3177
Joseph Ecker,Joseph Ecker,Joseph,Ecker,0000-0001-5799-5895
Guoping Feng,Guoping Feng,Guoping,Feng,0000-0002-8021-277X
Dong-Wook Kim,Dong-Wook Kim,Dong-Wook,Kim,0000-0002-5497-5853
Blue Lake,Blue Lake,Blue,Lake,0000-0002-8637-9044
Hanqing Liu,Hanqing Liu,Hanqing,Liu,0000-0002-5114-6048
Lijuan Liu,Lijuan Liu,Lijuan,Liu,0000-0002-9548-6183
Qingming Luo,Qingming Luo,Qingming,Luo,0000-0002-6725-9311
Ramesh Palaniswamy,Ramesh Palaniswamy,Ramesh,Palaniswamy,0000-0003-4322-2407
Hanchuan Peng,Hanchuan Peng,Hanchuan,Peng,0000-0002-3478-3942
Sebastian Preissl,Sebastian Preissl,Sebastian,Preissl,0000-0001-8971-5616
Bing Ren,Bing Ren,Bing,Ren,0000-0002-5435-1127
Peng Xie,Peng Xie,Peng,Xie,0000-0002-9509-7268
Kun Zhang,Kun Zhang,Kun,Zhang,0000-0002-7596-5224
Meng Zhang,Meng Zhang,Meng,Zhang,0000-0002-9753-0635
Xiaowei Zhuang,Xiaowei Zhuang,Xiaowei,Zhuang,0000-0002-6034-7853
David Anderson,David Anderson,David,Anderson,
Paola Arlotta,Paola Arlotta,Paola,Arlotta,
Ian Bowman,Ian Bowman,Ian,Bowman,
Juliana Brown,Juliana Brown,Juliana,Brown,
Long Cai,Long Cai,Long,Cai,
Ed Callaway,Ed Callaway,Ed,Callaway,
Jayaram Chandrashekar,Jayaram Chandrashekar,Jayaram,Chandrashenkar,
Florence D'Orazi,Florence D'Orazi,Florence,D'Orazi,
Tanya Daigle,Tanya Daigle,Tanya,Daigle,
Nick Foster,Nick Foster,Nick,Foster,
Chiara Gerhardinger,Chiara Gerhardinger,Chiara,Gerhardinger,
Lucas Graybuck,Lucas Graybuck,Lucas,Graybuck,
Ehsan Habibi,Ehsan Habibi,Ehsan,Habibi,
Houri Hintiryan,Houri Hintiryan,Houri,Hintiryan,
Z. Josh Huang,Z. Josh Huang,Z. Josh,Huang,
Matt Keefe,Matt Keefe,Matt,Keefe,
Kathleen Kelly,Kathleen Kelly,Kathleen,Kelly,
Peter Kharchenko,Peter Kharchenko,Peter,Kharchenko,
Dmitry Kobak,Dmitry Kobak,Dmitry,Kobak,
Velina Kozareva,Velina Kozareva,Velina,Kozareva,
Arnold Kriegstein,Arnold Kriegstein,Arnold,Kriegstein,
Fenna Krienen,Fenna Krienen,Fenna,Krienen,
Ed Lein,Ed Lein,Ed,Lein,
Kirsten Levandowski,Kirsten Levandowski,Kirsten,Levandowski,
Sten Linnarsson,Sten Linnarsson,Sten,Linnarsson,
Darrick Lo,Darrick Lo,Darrick,Lo,
Evan Macosko,Evan Macosko,Evan,Macosko,
Katie Matho,Katie Matho,Katie,Matho,
Steven McCarroll,Steven McCarroll,Steven,McCarroll,
Stephanie Mok,Stephanie Mok,Stephanie,Mok,
Marmar Moussa,Marmar Moussa,Marmar,Moussa,
Ulrich Mueller,Ulrich Mueller,Ulrich,Mueller,
Eran A. Mukamel,Eran A. Mukamel,Eran,Mukamel,
Tomasz Nowakowski,Tomasz Nowakowski,Tomasz,Nowakowski,
Mike Nunn,Mike Nunn,Mike,Nunn,
Pavel Osten,Pavel Osten,Pavel,Osten,
Chang Sin Park,Chang Sin Park,Chang Sin,Park,
Nico Pierson,Nico Pierson,Nico,Pierson,
Aviv Regev,Aviv Regev,Aviv,Regev,
Federico Scala,Federico Scala,Federico,Scala,
Samantha Serrano,Samantha Serrano,Samantha,Serrano,
Elise Shen,Elise Shen,Elise,Shen,
Tay Won Shin,Tay Won Shin,Tay Won,Shin,
Bosiljka Tasic,Bosiljka Tasic,Bosiljka,Tasic,
Timothy Tickle,Timothy Tickle,Timothy,Tickle,
Andreas Tolias,Andreas Tolias,Andreas,Tolias,
Cindy van Velthoven,Cindy van Velthoven,Cindy,van Velthoven,
Chuck Vanderburg,Chuck Vanderburg,Chuck,Vanderburg,
Dmitry Velmeshev,Dmitry Velmeshev,Dmitry,Velmeshev,
X. William Yang,X. William Yang,William,Yang,
Yang Yu,Yang Yu,Yang,Yu,
Heather Zaniewski,Heather Zaniewski,Heather,Zaniewski,
Hongkui Zeng,Hongkui Zeng,Hongkui,Zeng,
Guang-Wei Zhang,Guang-Wei Zhang,Guangwei,Zhang,
Li Zhang,Li Zhang,Li,Zhang,
Ryan Ziffra,Ryan Ziffra,Ryan,Ziffra,
Brian Cleary,Brian Cleary,Brian,Cleary,
Brooke Simonton,Brooke Simonton,Brooke,Simonton,
Jon Bezney,Jon Bezney,Jon,Bezney,
Evan Murray,Evan Murray,Evan,Murray,
Shahul Alam,Shahul Alam,Shahul,Alam,
Anubhav Sinha,Anubhav Sinha,Anubhav,Sinha,
Jamie Marshall,Jamie Marshall,Jamie,Marshall,
Eric Lander,Eric Lander,Eric,Lander,
Fei Chen,Fei Chen,Fei,Chen,
Anthony Kolasny,Anthony Kolasny,Anthony,Kolasny,
Edward Boyden,,,,
