project_reference_id,grant_reference_id,priority_order
dong_antero_proj,U01 Dong grant,0
dong_retro_proj,U01 Dong grant,0
dong_trio_proj,U01 Dong grant,0
ecker_sn_ATACseq_proj,U19 Ecker grant,0
ecker_sn_mCseq_proj,U19 Ecker grant,0
ecker_sn_mCseq_retro_proj,U19 Ecker grant,0
ecker_trio_proj,U19 Ecker grant,0
feng_fish_proj,U01 Feng grant,0
feng_sn_dropseq_proj,U01 Feng grant,0
huang_antero_proj,U19 Huang grant,0
huang_pn_proj,U19 Huang grant,0
huang_retro_proj,U19 Huang grant,0
huang_sn_10xv2_proj,U19 Huang grant,0
huang_stpt_conn_proj,U19 Huang grant,0
huang_stpt_count_proj,U19 Huang grant,0
kriegstein_sc_10x_proj,U01 Kriegstein grant,0
kriegstein_sc_ATACseq_proj,U01 Kriegstein grant,0
kriegstein_sn_10x_proj,U01 Kriegstein grant,0
lein_sn_10x,U01 Lein grant,0
lein_sn_SSv4_proj,U01 Lein grant,0
osten_stpt_proj,U01 Osten grant,0
yang_MORF_confocal_proj,U01 Yang grant,0
zeng_anderson_sc_10xv2_proj,U19 Zeng grant,0
zeng_fmost_proj,U19 Zeng grant,0
zeng_mouselight_proj,U19 Zeng grant,0
zeng_retro_proj,U19 Zeng grant,0
zeng_sc_10x_proj,U19 Zeng grant,0
zeng_sc_SSv4_proj,U19 Zeng grant,0
zeng_sn_10x_proj,U19 Zeng grant,0
zeng_sn_SSv4_proj,U19 Zeng grant,0
zeng_tolias_pseq_proj,U19 Zeng grant,0
zhuang_merfish_proj,U19 Zeng grant,0
zhuang_merfish_proj,U19 Huang grant,1
zhangK_snareseq,U01 ZhangKun grant,0
zhangl_seqfish_proj,U01 ZhangLi grant,0
ecker_hu_DNAseq_proj,U01 Ecker grant,0
ecker_hu_sn_mCseq_proj,U01 Ecker grant,0
ecker_hu_sn_ATACseq_proj,U01 Ecker grant,0
fischl_mri_proj,U01 Fischl grant,0
fischl_oct_proj,U01 Fischl grant,0
tasic_ATACseq_proj,RF1 Tasic grant,0
tasic_stpt_proj,RF1 Tasic grant,0
zhangl_anatomy_proj,U01 ZhangLi grant,0
human_cortex,U01 Lein grant,0
human_cortex,Allen Institute funder,1
