data_collection_reference_id,species_name
zeng_expr_char,mouse
dong_antero,mouse
dong_retro,mouse
dong_trio,mouse
ecker_sn_ATACseq,mouse
ecker_sn_mCseq,mouse
ecker_sn_mCseq_retro,mouse
ecker_trio,mouse
feng_fish,marmoset
feng_sn_dropseq,marmoset
huang_antero,mouse
huang_pn_bulk_SSv4,mouse
huang_pn_sn_10xv2,mouse
huang_retro,mouse
huang_sn_10xv2,mouse
huang_stpt_conn,mouse
huang_stpt_count,mouse
kriegstein_sc_10xv2,human
kriegstein_sc_ATACseq,human
kriegstein_sn_10xv2,human
lein_sn_10xv2,human
lein_sn_10xv3,human
lein_sn_SSv4,human
osten_stpt,mouse
yang_MORF_confocal,mouse
zeng_anderson_sc_10xv2,mouse
zeng_fmost,mouse
zeng_fmost_cells,mouse
zeng_mouselight,mouse
zeng_retro,mouse
zeng_sc_10xv2,mouse
zeng_sc_10xv3,mouse
zeng_sc_SSv4,mouse
zeng_sn_10xv2,mouse
zeng_sn_10xv3,mouse
zeng_sn_SSv4,mouse
zeng_tolias_pseq_m,mouse
zeng_tolias_pseq_t,mouse
zeng_tolias_pseq_e,mouse
zhuang_merfish,mouse
zhangK_cj_snareseq_AC,marmoset
zhangK_cj_snareseq_R,marmoset
zhangK_hs_snareseq_AC,human
zhangK_hs_snareseq_R,human
zhangl_seqfish,mouse
huang_sn_10xv3,mouse
ecker_hu_DNAseq,human
ecker_hu_sn_mCseq,human
ecker_hu_sn_ATACseq,human
fischl_mri,human
fischl_oct,human
tasic_ATACseq,mouse
tasic_stpt,mouse
zhangl_anatomy,mouse
human_cortex_SS4_counts,human
human_cortex_SS4_Open_GRU,
human_cortex_SS4_restricted_GRU,
human_cortex_SS4_restricted_limited,
