project_reference_id,person_reference_id,organization_reference_id,agent_type,priority_order
TransgenicSTPT,Hongkui Zeng,,person,0
TransgenicSTPT,,Allen Institute for Brain Science,organization,1
dong_antero_proj,Hong-Wei Dong,,person,0
ecker_sn_ATACseq_proj,Bing Ren,,person,0
ecker_sn_mCseq_proj,Joseph Ecker,,person,0
ecker_sn_mCseq_retro_proj,Edward Callaway,,person,0
feng_fish_proj,Guoping Feng,,person,0
feng_sn_dropseq_proj,Steven McCarroll,,person,0
huang_pn_proj,Paola Arlotta,,person,0
huang_sn_10xv2_proj,Evan Macosko,,person,0
huang_sn_10xv2_proj,Aviv Regev,,person,1
huang_stpt_conn_proj,Z. Josh Huang,,person,0
kriegstein_sc_10x_proj,Arnold Kriegstein,,person,0
kriegstein_sc_ATACseq_proj,Tomasz Nowakowski,,person,0
lein_sn_10x,Sten Linnarsson,,person,0
lein_sn_SSv4_proj,Ed Lein,,person,0
osten_stpt_proj,Pavel Osten,,person,0
yang_MORF_confocal_proj,X. William Yang,,person,0
zeng_anderson_sc_10xv2_proj,David J Anderson,,person,0
zeng_fmost_proj,Qingming Luo,,person,0
zeng_mouselight_proj,Jayaram Chandrashekar,,person,0
zeng_tolias_pseq_proj,Andreas Tolias,,person,0
zhuang_merfish_proj,Xiaowei Zhuang,,person,0
zhangK_snareseq,Kun Zhang,,person,0
zhangl_seqfish_proj,Long Cai,,person,0
human_cortex,,Allen Institute for Brain Science,organization,0
