sub_program_reference_id,program_reference_id
AMBCA,AIBS
BrainSpan,AIBS
ADMBA,AIBS
AHBA,AIBS
ACTD,AIBS
IvyGBM,AIBS
TBI,AIBS
AMBA,AIBS
ASCA,AIBS
NHP,AIBS
TransChar,AIBS
VisualCoding,AIBS
U01 Dong,BICCN
U19 Ecker,BICCN
U01 Feng,BICCN
U19 Huang,BICCN
U01 Kriegstein,BICCN
U01 Osten,BICCN
U01 Yang,BICCN
U19 Zeng,BICCN
U01 ZhangKun,BICCN
U01 ZhangLi,BICCN
R24 Ghosh,BICCN
R24 Ropelewski,BICCN
R24 White,BICCN
RF1 Chung,BICCN
RF1 Mueller,BICCN
RF1 Nowakowski,BICCN
RF1 Regev,BICCN
RF1 Tasic,BICCN
RF1 Tilgner,BICCN
U01 Chung,BICCN
U01 Ecker,BICCN
U01 Fischl,BICCN
U01 Lein,BICCN
U01 Snyder-Mackler,BICCN
U24 Hawrylycz,BICCN
