data_collection_reference_id,data_collection_title,data_collection_short_title,data_collection_description,categorical_access_control_state,categorical_completion_state,last_updated_at_date
zeng_expr_char,Transgene Expression Data By Serial Two Photon Tomography,Serial two photon tomography,Serial two photon tomography of specific transgenic lines to support CCF annotation.,open,complete,2018/12/12
dong_antero,Cre-dependent anterograde pathway tracing,Anterograde tracing,Fluorescent imaging of brain tissue sections marked by Cre-dependent anterograde tracer injections with nissl counterstain.,open,in progress,2020/06/24
dong_retro,Retrograde pathway tracing,Retrograde tracing,Fluorescent imaging of brain tissue sections labeled by 3-5 retrograde tracers with nissl counterstain.,open,in progress,2020/06/24
dong_trio,Tracing the relationship between input and output (TRIO),TRIO,Fluorescent imaging of brain tissue sections labeled by Cre-dependent rabies viral tracers with nissl counterstain.,open,in progress,2020/06/24
ecker_sn_ATACseq,Chromatin accessibility profiling of genomic DNA in individual mouse brain cell nuclei (RS1.2),Chromatin accessibility,Single nucleus ATACseq chromatin accessibility data.,open,in progress,2020/08/25
ecker_sn_mCseq,DNA methylation profiling of genomic DNA in individual mouse brain cell nuclei (RS1.1),Methylation nuclei,Single nucleus DNA methylation data.,open,in progress,2020/08/25
ecker_sn_mCseq_retro,Regional DNA methylation profiling of individual projection neurons isolated from the mouse brain (RS2.1),Methylation projection neurons,Single nucleus DNA methylation data from cells labeled by retrograde tracers.,open,in progress,2020/08/25
ecker_trio,Linking inputs to outputs of projection neurons within epigenetically defined regions in the mouse brain (RS2.2),TRIO tracing,Fluorescent imaging of brain tissue sections labeled by TRIO tracing using 3 different viruses.,open,in progress,2020/06/24
feng_fish,A Molecular and Cellular Atlas of the Marmoset Brain - FISH,FISH,Fluorescent in situ hybridization of sparsely labeled GFP cells across 16 brain regions.,open,in progress,2020/06/24
feng_sn_dropseq,A Molecular and Cellular Atlas of the Marmoset Brain - Dropseq,Dropseq,Single nucleus RNA sequencing of cells from marmoset brain.,open,in progress,2020/06/24
huang_antero,Triple anterograde pathway tracing,Anterograde tracing,Fluorescent imaging of brain tissue sections marked by anterograde tracer injections with nissl counterstain.,open,in progress,2020/06/24
