data_collection_reference_id,specimen_type_name
zeng_expr_char,whole brain
dong_antero,brain section set
dong_retro,brain section set
dong_trio,brain section set
ecker_sn_ATACseq,cell nucleus
ecker_sn_mCseq,cell nucleus
ecker_sn_mCseq_retro,cell nucleus
ecker_trio,brain section set
feng_fish,brain section set
feng_sn_dropseq,cell nucleus
huang_antero,brain section set
huang_pn_bulk_SSv4,bulk nucleus
huang_pn_sn_10xv2,cell nucleus
huang_retro,brain section set
huang_sn_10xv2,cell nucleus
huang_stpt_conn,whole brain
huang_stpt_count,whole brain
kriegstein_sc_10xv2,whole cell
kriegstein_sc_ATACseq,cell nucleus
kriegstein_sn_10xv2,cell nucleus
lein_sn_10xv2,cell nucleus
lein_sn_10xv3,cell nucleus
lein_sn_SSv4,cell nucleus
osten_stpt,whole brain
yang_MORF_confocal,tissue sample
zeng_anderson_sc_10xv2,whole cell
zeng_fmost,whole brain
zeng_fmost_cells,whole cell
zeng_mouselight,whole brain
zeng_retro,whole brain
zeng_sc_10xv2,whole cell
zeng_sc_10xv3,whole cell
zeng_sc_SSv4,whole cell
zeng_sn_10xv2,cell nucleus
zeng_sn_10xv3,cell nucleus
zeng_sn_SSv4,cell nucleus
zeng_tolias_pseq_m,cell in slice
zeng_tolias_pseq_t,cell nucleus
zeng_tolias_pseq_e,cell in slice
zhuang_merfish,brain slice
zhangK_cj_snareseq_AC,cell nucleus
zhangK_cj_snareseq_R,cell nucleus
zhangK_hs_snareseq_AC,cell nucleus
zhangK_hs_snareseq_R,cell nucleus
zhangl_seqfish,spinal cord slice
huang_sn_10xv3,cell nucleus
ecker_hu_DNAseq,tissue sample
ecker_hu_sn_mCseq,cell nucleus
ecker_hu_sn_ATACseq,cell nucleus
fischl_mri,brain hemisphere
fischl_oct,brain slice
tasic_ATACseq,whole cell
tasic_stpt,whole brain
zhangl_anatomy,
human_cortex_SS4_counts,cell nucleus
human_cortex_SS4_Open_GRU,
human_cortex_SS4_restricted_GRU,
human_cortex_SS4_restricted_limited,
