project_reference_id,web_resource_reference_id,priority_order
TransgenicSTPT,http://download.brainimagelibrary.org/biccn/zeng/expressioncharacterization/STPT/,0
dong_antero_proj,http://download.brainimagelibrary.org/biccn/dong/anterograde/triple/,0
dong_retro_proj,http://download.brainimagelibrary.org/biccn/dong/retrograde/,0
dong_trio_proj,http://download.brainimagelibrary.org/biccn/dong/trio/,0
ecker_sn_ATACseq_proj,http://data.nemoarchive.org/biccn/grant/cemba/ecker/chromatin/,0
ecker_sn_mCseq_proj,http://data.nemoarchive.org/biccn/grant/cemba/ecker/methylation/,0
ecker_sn_mCseq_retro_proj,http://data.nemoarchive.org/biccn/grant/cemba/callaway/projection/,0
ecker_trio_proj,http://download.brainimagelibrary.org/biccn/cemba/dong/TRIO/,0
feng_fish_proj,http://download.brainimagelibrary.org/biccn/feng/fish/,0
feng_sn_dropseq_proj,http://data.nemoarchive.org/biccn/grant/feng/feng/transcriptome/scell/,0
huang_antero_proj,http://download.brainimagelibrary.org/biccn/huang/dong/anterograde/triple/,0
huang_pn_proj,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/scell/,0
huang_pn_proj,http://data.nemoarchive.org/biccn/grant/huang/arlotta/transcriptome/bulk/,1
huang_retro_proj,http://download.brainimagelibrary.org/biccn/huang/dong/retrograde/quad/,0
huang_sn_10xv2_proj,http://data.nemoarchive.org/biccn/lab/regev/transcriptome/sncell/,0
huang_sn_10xv2_proj,http://data.nemoarchive.org/biccn/lab/macosko/transcriptome/sncell/,1
huang_stpt_conn_proj,http://download.brainimagelibrary.org/biccn/huang/connectivity/anterograde/,0
huang_stpt_count_proj,http://download.brainimagelibrary.org/biccn/huang/cellcounting/,0
kriegstein_sc_10x_proj,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/scell/,0
kriegstein_sn_10x_proj,http://data.nemoarchive.org/biccn/grant/devhu/kriegstein/transcriptome/sncell/,0
lein_sn_10x,http://data.nemoarchive.org/biccn/grant/lein/linnarsson/transcriptome/sncell/10X/,0
osten_stpt_proj,http://download.brainimagelibrary.org/biccn/osten/cellcounting/,0
yang_MORF_confocal_proj,http://download.brainimagelibrary.org/biccn/yang/morf/confocal/,0
zeng_anderson_sc_10xv2_proj,http://data.nemoarchive.org/biccn/grant/zeng/anderson/transcriptome/scell/10x/,0
zeng_fmost_proj,http://download.brainimagelibrary.org/biccn/zeng/luo/fMOST/,0
zeng_mouselight_proj,http://download.brainimagelibrary.org/biccn/zeng/mouselight/,0
zeng_retro_proj,http://download.brainimagelibrary.org/biccn/zeng/retrograde/transsynaptic/,0
zeng_sc_10x_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/10X/,0
zeng_sc_10x_proj,http://data.nemoarchive.org/biccn/assay/transcriptome/zeng/scell/10X/,1
zeng_sc_SSv4_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/scell/SMARTer/,0
zeng_sn_10x_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/10X/,0
zeng_sn_10x_proj,http://data.nemoarchive.org/biccn/grant/zeng/zeng/transcriptome/snuc/10X/raw/MOp_v3/,1
zeng_sn_SSv4_proj,http://data.nemoarchive.org/biccn/lab/zeng/transcriptome/sncell/SMARTer/,0
zeng_tolias_pseq_proj,http://download.brainimagelibrary.org/biccn/zeng/tolias/pseq/morph/,0
zeng_tolias_pseq_proj,http://data.nemoarchive.org/biccn/grant/zeng/tolias/,1
zeng_tolias_pseq_proj,http://identifiers.org/DANDI:000008,2
zhuang_merfish_proj,http://download.brainimagelibrary.org/biccn/zeng/zhuang/merfish/,0
zhangK_snareseq,http://data.nemoarchive.org/biccn/grant/zhang/zhang/,0
zhangl_seqfish_proj,http://download.brainimagelibrary.org/biccn/zhangl/seqfish/,0
human_cortex,https://celltypes.brain-map.org/rnaseq/human_ctx_smart-seq,0
