web_resource_reference_id,web_resource_type,web_resource_title,web_resource_short_title,universal_resource_locator
 https://download.brainimagelibrary.org/biccn/mueller/mouselight/,download,Brain Image Library,BIL,https://download.brainimagelibrary.org/biccn/mueller/mouselight/
http://data.nemoarchive.org/biccn/grant/u01_lein/linnarsson/transcriptome/sncell/,download,NeMO Data Archive,NeMO,http://data.nemoarchive.org/biccn/grant/u01_lein/linnarsson/transcriptome/sncell/
http://doi.org/10.17504/protocols.io.2srged6,view,Extraction of Nuclei from Brain Tissue,Extraction of Nuclei from Brain Tissue,https://doi.org/10.17504/protocols.io.2srged6
http://doi.org/10.17504/protocols.io.4xjgxkn,view,Triple Anterograde Tracing,Triple Anterograde Tracing,https://doi.org/10.17504/protocols.io.4xjgxkn
http://doi.org/10.17504/protocols.io.4xpgxmn,view,Quadruple Retrograde Tracing,Quadruple Retrograde Tracing,https://doi.org/10.17504/protocols.io.4xpgxmn
http://doi.org/10.17504/protocols.io.4xsgxne,view,TRIO tracing,TRIO tracing,https://doi.org/10.17504/protocols.io.4xsgxne
http://doi.org/10.17504/protocols.io.4zzgx76,view,Sequencing open chromatin of single cell nuclei: snATAC-seq V.2 ,snATAC-seq V.2 ,https://doi.org/10.17504/protocols.io.4zzgx76
http://doi.org/10.17504/protocols.io.63rhgm6,view,Nextera XT at 0.2X On the Mantis,Nextera XT at 0.2X On the Mantis,https://doi.org/10.17504/protocols.io.63rhgm6
http://doi.org/10.17504/protocols.io.7aehibe,view,Human Tissue Slicing and Dissections for Nuclear Isolations,Human Tissue Slicing and Dissections for Nuclear Isolations,https://doi.org/10.17504/protocols.io.7aehibe
http://doi.org/10.17504/protocols.io.7d5hi86,view,SMARTerV4 (0.5x) Amplification for single-cell or single-nuclei RNASeq Protocol V.1,SMARTerV4 (0.5x) Protocol V.1,https://doi.org/10.17504/protocols.io.7d5hi86
http://doi.org/10.17504/protocols.io.7d6hi9e,view,SMARTerV4 (1x) Amplification for single-cell or  single-nuclei RNASeq Protocol V.1,SMARTerV4 (1x) Protocol V.1,https://doi.org/10.17504/protocols.io.7d6hi9e
http://doi.org/10.17504/protocols.io.7dwhi7e,view,Slice Preparation with Tissue Dissociation - Mouse Protocol,Slice Preparation with Tissue Dissociation - Mouse Protocol,https://doi.org/10.17504/protocols.io.7dwhi7e
