sub_program_reference_id,program_reference_id
ACTD,Allen Brain Map
BICAN BCDC,BICAN
BICAN Dev Human NHP,BICAN
BICAN Dev Mouse,BICAN
BICAN Dev Multiomics,BICAN
BICAN Knowledgebase,BICAN
BICAN Mol Pipelines,BICAN
BICAN Mul PN Human,BICAN
BICAN PN Human Var,BICAN
BICAN Rapid Release,BICAN
BICAN V1 Functional,BICAN
CUBIE Specimen,BICAN
HMBA,BICAN
R24 Ghosh,BICCN
R24 Ropelewski,BICCN
R24 White,BICCN
RF1 Adey,BICCN
RF1 Chung,BICCN
RF1 Kim,BICCN
RF1 Levi,BICCN
RF1 Macosko,BICCN
RF1 Mueller,BICCN
RF1 Nowakowski,BICCN
RF1 Regev,BICCN
RF1 Ren,BICCN
RF1 Roussos,BICCN
RF1 Shepherd,BICCN
RF1 Tasic,BICCN
RF1 Tilgner,BICCN
TransChar,Allen Brain Map
U01 Chung,BICCN
U01 Dong,BICCN
U01 Ecker,BICCN
U01 Feng,BICCN
U01 Fischl,BICCN
U01 Kriegstein,BICCN
U01 Lein,BICCN
U01 Macosko,BICCN
U01 Osten,BICCN
U01 Sestan,BICCN
U01 Snyder-Mackler,BICCN
U01 Yang,BICCN
U01 ZhangKun,BICCN
U01 ZhangLi,BICCN
U19 Ecker,BICCN
U19 Huang,BICCN
U19 Zeng,BICCN
U24 Hawrylycz,BICCN
