person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Adrian V. Dalca,Adrian V. Dalca,Adrian V.,Dalca,0000-0002-8422-0136
Adriana E. Sedeño-Cortés,Adriana E. Sedeño-Cortés,Adriana E.,Sedeño-Cortés,0000-0001-7959-8970
Aishwarya A. Gogate,Aishwarya A. Gogate,Aishwarya A.,Gogate,0000-0002-4587-5295
Alessia Atzeni,Alessia Atzeni,Alessia,Atzeni,0000-0001-8320-230X
Alexander Dobin,Alexander Dobin,Alexander,Dobin,0000-0002-4115-9128
Allen Wang,Allen Wang,Allen,Wang,
Allison Stevens,Allison Stevens,Allison,Stevens,0000-0002-4978-0824
Amy Torkelson,Amy Torkelson,Amy,Torkelson,0000-0002-9465-4202
Ana Spajic,Ana Spajic,Ana,Spajic,0000-0002-4254-1089
Anan Li,Anan Li,Anan,Li,0000-0002-5877-4813
Andre van der Kouwe,Andre van der Kouwe,Andre,van der Kouwe,0000-0002-2754-6594
Andreas Tolias,Andreas Tolias,Andreas,Tolias,0000-0002-4305-6376
Andres Villegas-Lanau,Andres Villegas-Lanau,Andres,Villegas-Lanau,
Andrew Adey,Andrew Adey,Andrew,Adey,0000-0001-7648-8717
Andrew Aldridge,Andrew Aldridge,Andrew,Aldridge,0000-0003-1962-8802
Andrew L. Ko,Andrew L. Ko,Andrew L.,Ko,
Andrew N. Bubak,Andrew N. Bubak,Andrew N.,Bubak,0000-0002-1675-2309
Angeline Rivkin,Angeline Rivkin,Angeline,Rivkin,0000-0003-0399-9043
Anna Bartlett,Anna Bartlett,Anna,Bartlett,0000-0001-7059-4033
Anna Marie Yanny,Anna Marie Yanny,Anna Marie,Yanny,0000-0001-7250-8450
Anne Jacobi,Anne Jacobi,Anne,Jacobi,0000-0002-8197-3554
Anoop P. Patel,Anoop P. Patel,Anoop P.,Patel,
Anoushka Joglekar,Anoushka Joglekar,Anoushka,Joglekar,0000-0002-7818-6867
Anthony Kolasny,Anthony Kolasny,Anthony,Kolasny,0000-0003-2620-6210
Anthony Linares,Anthony Linares,Anthony,Linares,0000-0002-2484-7252
Antonio Pinto-Duarte,Antonio Pinto-Duarte,Antonio,Pinto-Duarte,0000-0002-2215-7653
Anubhav Sinha,Anubhav Sinha,Anubhav,Sinha,
Anup Mahurkar,Anup Mahurkar,Anup,Mahurkar,0000-0002-4999-2296
Aparna Bhaduri,Aparna Bhaduri,Aparna,Bhaduri,0000-0003-4625-6899
Arianna Gentile Polese,Arianna Gentile Polese,Arianna Gentile,Polese,
Arnold Kriegstein,Arnold Kriegstein,Arnold,Kriegstein,0000-0001-5742-2990
Aviv Regev,Aviv Regev,Aviv,Regev,
B. Dnate' Baxter,B. Dnate' Baxter,B. Dnate',Baxter,
Baldur van Lew,Baldur van Lew,Baldur,van Lew,0000-0003-0628-1264
Bin Li,Bin Li,Bin,Li,
Bing Ren,Bing Ren,Bing,Ren,0000-0002-5435-1127
Blue Lake,Blue Lake,Blue,Lake,0000-0002-8637-9044
Bo Peng,Bo Peng,Bo,Peng,0000-0001-8122-189X
Boaz Levi,Boaz Levi,Boaz,Levi,0000-0002-8346-872X
Bogdan Bintu,Bogdan Bintu,Bogdan,Bintu,0000-0001-9096-5858
Bosiljka Tasic,Bosiljka Tasic,Bosiljka,Tasic,0000-0002-6861-4506
Boudewijn P. Lelieveldt,Boudewijn P. Lelieveldt,Boudewijn P.,Lelieveldt,0000-0001-8269-7603
Bram Diamond,Bram Diamond,Bram,Diamond,0000-0002-9493-874X
Brendan O'Connell,Brendan O'Connell,Brendan,O'Connell,
Brian Cleary,Brian Cleary,Brian,Cleary,
Brian D. Aevermann,Brian D. Aevermann,Brian D.,Aevermann,0000-0003-1346-1327
Brian Edlow,Brian Edlow,Brian,Edlow,0000-0001-7235-8456
Brian Herb,Brian Herb,Brian,Herb,0000-0002-5910-9647
Brian Kalmbach,Brian Kalmbach,Brian,Kalmbach,0000-0003-3136-8097
Brian R. Lee,Brian R. Lee,Brian R.,Lee,0000-0002-3210-5638
Bridget Wicinski,Bridget Wicinski,Bridget,Wicinski,0000-0002-2972-7081
Brooke Simonton,Brooke Simonton,Brooke,Simonton,0000-0002-1366-1268
Bruce Fischl,Bruce Fischl,Bruce,Fischl,0000-0002-2413-1115
C. Dirk Keene,C. Dirk Keene,C. Dirk,Keene,
Cailyn Spurrell,Cailyn Spurrell,Cailyn,Spurrell,0000-0003-0681-3697
Can Tao,Can Tao,Can,Tao,0000-0002-3914-1877
Carla C. Winter,Carla C. Winter,Carla C.,Winter,0000-0003-3013-0394
Caroline Magnain,Caroline Magnain,Caroline,Magnain,0000-0003-4244-7380
Carter Palmer,Carter Palmer,Carter,Palmer,0000-0002-2385-2068
Catherine Dulac,Catherine Dulac,Catherine,Dulac,0000-0001-5024-5418
Chang Sin Park,Chang Sin Park,Chang Sin,Park,
Changkyu Lee,Changkyu Lee,Changkyu,Lee,0000-0001-6146-0404
