data_collection_reference_id,specimen_type_name,reported_count
chung_ihc,brain slice,2
chung_lsfm,brain section set,199
dev_mouse_brain_lsfm,whole brain,459
dev_mouse_brain_mri,whole brain,189
dev_mouse_brain_stpt,whole brain,84
dong_antero,whole brain,58
dong_confocal,brain slice,30
dong_lightsheet,whole brain,6
dong_retro,whole brain,137
dong_trio,whole brain,67
dulac_hyp_sn_10xv2,cell nucleus,148163
dulac_pag_sn_10xv2,cell nucleus,116659
dulac_poa_dev_sn_10x_RNAseq,library,23
ecker_hu_DNAseq,tissue sample,3
ecker_hu_sn_ATACseq,cell nucleus,842478
ecker_hu_sn_mCseq,cell nucleus,221102
ecker_sn_ATACseq,cell nucleus,2945317
ecker_sn_mCseq,cell nucleus,318867
ecker_sn_mCseq_retro,cell nucleus,66422
ecker_trio,whole brain,68
feng_fish,cell in slice,271
feng_morph,reconstruction,45
feng_sn_10xv3,cell nucleus,589939
feng_sn_dropseq,cell nucleus,834367
fischl_lsfm,tissue sample,78
fischl_mri,brain hemisphere,12
fischl_oct,brain slice,220
fischl_stereology,tissue sample,20
huang_antero,brain section set,53
huang_ccf4_hist,whole brain,1
huang_ccf4_mri,whole brain,1
huang_dev_cx_scATAC,cell nucleus,17557
huang_dev_cx_scRNA,cell nucleus,64600
huang_fmost,whole brain,192
huang_fmost_cells,whole cell,566
huang_input_conn,whole brain,5
huang_pn_bulk_SSv4,bulk nucleus,19
huang_pn_sn_10xv2,cell nucleus,106093
huang_pn_sn_10xv3,cell nucleus,157696
huang_retro,brain section set,54
huang_sn_10xv2,cell nucleus,469176
huang_sn_10xv3,cell nucleus,6544747
huang_stpt_conn,whole brain,232
huang_stpt_count,whole brain,58
human_cortex_SS4_Open_GRU,cell nucleus,4911
human_cortex_SS4_restricted_GRU,cell nucleus,50688
human_cortex_SS4_restricted_limited,cell nucleus,208
kriegstein_sc_10xv2,whole cell,736509
kriegstein_sc_10xv3,whole cell,259015
kriegstein_sc_ATACseq,whole cell,215739
kriegstein_sc_multiome,whole cell,169362
kriegstein_sn_10xv2,cell nucleus,1823807
lein_evo_10x_arcticgroundsquirrel,library,11
lein_evo_10x_armadillo,library,12
lein_evo_10x_cat,library,12
lein_evo_10x_chimp,library,12
lein_evo_10x_ferret,library,12
lein_evo_10x_galago,library,12
lein_evo_10x_gorilla,library,14
lein_evo_10x_greenmonkey,library,12
lein_evo_10x_nemestrina,library,12
lein_evo_10x_opposum,library,12
lein_evo_10x_owlmonkey,library,12
lein_evo_10x_pig,library,10
lein_evo_10x_rabbit,library,13
lein_evo_10x_rat,library,12
lein_evo_10x_rhesus,library,13
lein_evo_10x_treeshrew,library,13
lein_human_pseq_e,cell in slice,1135
lein_human_pseq_m,cell in slice,731
lein_human_pseq_t,cell nucleus,1135
lein_L5_pseq_t,cell nucleus,25
lein_sn_10xv2,cell nucleus,180766
lein_sn_10xv3,cell nucleus,3105039
lein_sn_hippocampus,cell nucleus,10708
lein_sn_SSv4,cell nucleus,244983
macosko_bg_multiome_atac_human,cell nucleus,579740
macosko_bg_multiome_atac_macaque,cell nucleus,65866
macosko_bg_multiome_gex_human,cell nucleus,507643
macosko_bg_multiome_gex_macaque,cell nucleus,25506
macosko_bg_shareseq_macaque,cell nucleus,14000
macosko_bg_slideseq_histologydataset_human,brain slice,7
macosko_bg_slideseq_histologydataset_macaque,brain slice,12
macosko_bg_slideseq_human,brain slice,821968
macosko_bg_slideseq_macaque,whole cell,2209973
macosko_mouse_slideseq_histologydataset,brain slice,128
macosko_mouse_slideseq_slideseqdataset,brain slice,13122265
mop_evo_pseq_hu_t,cell nucleus,12
nowakowski_evobc,whole cell,29728
nowakowski_pndev_10xv3,cell nucleus,124580
osten_ls,whole brain,12
osten_stpt,whole brain,393
regev_cisi,brain slice,1
sestan_multiome_10x_human,library,7367
sestan_multiome_10x_nhp,library,29449
sestan_sc_10xv2_nhp_dev,library,226237
sestan_sc_10xv3_nhp_dev,library,45075
