person_reference_id,person_name,person_given_name,person_family_name,orcid_symbol
Adrian V. Dalca,Adrian V. Dalca,Adrian V.,Dalca,
Adriana E. Sedeño-Cortés,Adriana E. Sedeño-Cortés,Adriana E.,Sedeño-Cortés,
Aishwarya A. Gogate,Aishwarya A. Gogate,Aishwarya A.,Gogate,
Alessia Atzeni,Alessia Atzeni,Alessia,Atzeni,
Alexander Dobin,Alexander Dobin,Alexander,Dobin,
Allen Wang,Allen Wang,Allen,Wang,
Allison Stevens,Allison Stevens,Allison,Stevens,
Amy Torkelson,Amy Torkelson,Amy,Torkelson,
Ana Spajic,Ana Spajic,Ana,Spajic,
Anan Li,Anan Li,Anan,Li,0000-0002-5877-4813
Andre van der Kouwe,Andre van der Kouwe,Andre,van der Kouwe,
Andreas Tolias,Andreas Tolias,Andreas,Tolias,
Andres Villegas-Lanau,Andres Villegas-Lanau,Andres,Villegas-Lanau,
Andrew Aldridge,Andrew Aldridge,Andrew,Aldridge,
Andrew L. Ko,Andrew L. Ko,Andrew L.,Ko,
Andrew N. Bubak,Andrew N. Bubak,Andrew N.,Bubak,
Angeline Rivkin,Angeline Rivkin,Angeline,Rivkin,
Anna Bartlett,Anna Bartlett,Anna,Bartlett,
Anna Marie Yanny,Anna Marie Yanny,Anna Marie,Yanny,
Anoop P. Patel,Anoop P. Patel,Anoop P.,Patel,
Anoushka Joglekar,Anoushka Joglekar,Anoushka,Joglekar,
Anthony Kolasny,Anthony Kolasny,Anthony,Kolasny,
Antonio Pinto-Duarte,Antonio Pinto-Duarte,Antonio,Pinto-Duarte,0000-0002-2215-7653
Anubhav Sinha,Anubhav Sinha,Anubhav,Sinha,
Anup Mahurkar,Anup Mahurkar,Anup,Mahurkar,
Aparna Bhaduri,Aparna Bhaduri,Aparna,Bhaduri,0000-0003-4625-6899
Arianna Gentile Polese,Arianna Gentile Polese,Arianna Gentile,Polese,
Arnold Kriegstein,Arnold Kriegstein,Arnold,Kriegstein,
Aviv Regev,Aviv Regev,Aviv,Regev,
B. Dnate' Baxter,B. Dnate' Baxter,B. Dnate',Baxter,
Baldur van Lew,Baldur van Lew,Baldur,van Lew,
Bin Li,Bin Li,Bin,Li,
Bing Ren,Bing Ren,Bing,Ren,0000-0002-5435-1127
Blue Lake,Blue Lake,Blue,Lake,0000-0002-8637-9044
Bo Peng,Bo Peng,Bo,Peng,
Bogdan Bintu,Bogdan Bintu,Bogdan,Bintu,
Bosiljka Tasic,Bosiljka Tasic,Bosiljka,Tasic,
Boudewijn P. Lelieveldt,Boudewijn P. Lelieveldt,Boudewijn P.,Lelieveldt,
Bram Diamond,Bram Diamond,Bram,Diamond,
Brian Cleary,Brian Cleary,Brian,Cleary,
Brian D. Aevermann,Brian D. Aevermann,Brian D.,Aevermann,
Brian Edlow,Brian Edlow,Brian,Edlow,
Brian Herb,Brian Herb,Brian,Herb,
Brian Kalmbach,Brian Kalmbach,Brian,Kalmbach,
Brian R. Lee,Brian R. Lee,Brian R.,Lee,
Bridget Wicinski,Bridget Wicinski,Bridget,Wicinski,
Brooke Simonton,Brooke Simonton,Brooke,Simonton,
Bruce Fischl,Bruce Fischl,Bruce,Fischl,
C. Dirk Keene,C. Dirk Keene,C. Dirk,Keene,
Cailyn Spurrell,Cailyn Spurrell,Cailyn,Spurrell,
Can Tao,Can Tao,Can,Tao,
Caroline Magnain,Caroline Magnain,Caroline,Magnain,
Carter Palmer,Carter Palmer,Carter,Palmer,0000-0002-2385-2068
Catherine Dulac,Catherine Dulac,Catherine,Dulac,
Chang Sin Park,Chang Sin Park,Chang Sin,Park,
Charles Cobbs,Charles Cobbs,Charles,Cobbs,
Cheng Wang,Cheng Wang,Cheng,Wang,
Chiara Gerhardinger,Chiara Gerhardinger,Chiara,Gerhardinger,
Chongyuan Luo,Chongyuan Luo,Chongyuan,Luo,
Chris de-Koch,Chris de-Koch,Chris,de-Koch,
Christine Liu,Christine Liu,Christine,Liu,0000-0002-1239-4612
Christine Rimorin,Christine Rimorin,Christine,Rimorin,
Christof Koch,Christof Koch,Christof,Koch,
Christy S. Niemeyer,Christy S. Niemeyer,Christy S.,Niemeyer,
Chuanxi Zhao,Chuanxi Zhao,Chuanxi,Zhao,
Chuck Vanderburg,Chuck Vanderburg,Chuck,Vanderburg,
Cindy van Velthoven,Cindy van Velthoven,Cindy,van Velthoven,
Cristina Radaelli,Cristina Radaelli,Cristina,Radaelli,
Daniel L. Silbergeld,Daniel L. Silbergeld,Daniel L.,Silbergeld,
Daniela DiBella,Daniela DiBella,Daniela,DiBella,
Darren Bertagnolli,Darren Bertagnolli,Darren,Bertagnolli,
Darrick Lo,Darrick Lo,Darrick,Lo,
David Boas,David Boas,David,Boas,
David J Anderson,David J. Anderson,David J.,Anderson,0000-0001-6175-3872
David Uscher Gorkin,David Uscher Gorkin,David Uscher,Gorkin,0000-0003-4944-4107
Delissa McMillen,Delissa McMillen,Delissa,McMillen,
Devani Cordero,Devani Cordero,Devani,Cordero,
Diana O'Day,Diana O'Day,Diana,O'Day,
Diego Restrepo,Diego Restrepo,Diego,Restrepo,
Dinh Diep,Dinh Diep,Dinh,Diep,
Divya Varadarajan,Divya Varadarajan,Divya,Varadarajan,
Dmitry Kobak,Dmitry Kobak,Dmitry,Kobak,
Dmitry Velmeshev,Dmitry Velmeshev,Dmitry,Velmeshev,
Dong-Wook Kim,Dong-Wook Kim,Dong-Wook,Kim,0000-0002-5497-5853
Ed Callaway,Ed Callaway,Ed,Callaway,
Ed Lein,Ed Lein,Ed,Lein,
Edward Boyden,Edward Boyden,Edward,Boyden,
Edward Callaway,Edward Callaway,Edward,Callaway,0000-0002-6366-5267
Ehsan Habibi,Ehsan Habibi,Ehsan,Habibi,
Elise Shen,Elise Shen,Elise,Shen,
Emma Boyd,Emma Boyd,Emma,Boyd,
Eran A. Mukamel,Eran A. Mukamel,Eran,Mukamel,
Erendira Garcia Pallares,Erendira Garcia Pallares,Erendira Garcia,Pallares,
Eric Lander,Eric Lander,Eric,Lander,
Eric Vaughn,Eric Vaughn,Eric,Vaughn,
Evan Macosko,Evan Macosko,Evan,Macosko,
Evan Murray,Evan Murray,Evan,Murray,
Fabiana Duarte,Fabiana Duarte,Fabiana,Duarte,
